open,high,low,close,volume,vwap,timestamp,transactions,otc
168.1,172.69,165.58,170.42,66080261.0,170.3162,2024-04-05 04:00:00,587122,
168.2,171.6599,166.82,169.9,43997546.0,169.6283,2024-04-08 04:00:00,423551,
170.21,171.6,167.29,170.78,42927985.0,169.3961,2024-04-09 04:00:00,399563,
166.71,169.7752,164.0,167.14,59599958.0,166.5409,2024-04-10 04:00:00,560173,
167.545,170.9499,166.5492,170.5,48994531.0,169.3341,2024-04-11 04:00:00,431701,
164.53,165.7,161.825,163.28,63519643.0,163.4995,2024-04-12 04:00:00,585381,
164.43,164.44,158.76,160.32,61461150.0,161.5789,2024-04-15 04:00:00,543834,
162.28,164.8799,161.67,163.46,55302100.0,163.3187,2024-04-16 04:00:00,504427,
163.97,164.45,153.88,154.02,75908969.0,157.6974,2024-04-17 04:00:00,646783,
155.51,156.96,152.32,155.08,52669816.0,155.0042,2024-04-18 04:00:00,513832,
151.59,154.25,145.29,146.64,71618197.0,149.1535,2024-04-19 04:00:00,677663,
148.15,149.89,145.63,148.64,49397034.0,147.8892,2024-04-22 04:00:00,416789,
151.65,153.495,150.35,152.27,46051911.0,152.4182,2024-04-23 04:00:00,401344,
156.56,157.6598,150.63,151.74,43412550.0,152.9122,2024-04-24 04:00:00,407229,
149.15,155.14,146.75,153.76,41471423.0,152.6501,2024-04-25 04:00:00,395813,
154.24,158.63,153.4252,157.4,42510708.0,157.101,2024-04-26 04:00:00,406793,
159.08,160.77,156.26,160.2,43478221.0,159.358,2024-04-29 04:00:00,441481,
160.63,162.29,158.35,158.38,60742834.0,159.0196,2024-04-30 04:00:00,588508,
148.11,151.37,142.14,144.27,89413168.0,145.9233,2024-05-01 04:00:00,928448,
145.51,147.62,141.155,146.16,50034730.0,144.6629,2024-05-02 04:00:00,498961,
148.75,150.79,147.2384,150.6,49361081.0,149.4173,2024-05-03 04:00:00,430924,
153.1,156.65,151.26,155.78,44624546.0,155.0128,2024-05-06 04:00:00,397315,
156.32,157.7,153.66,154.43,37374906.0,155.4397,2024-05-07 04:00:00,345893,
153.4,155.33,152.52,153.62,28727963.0,153.7288,2024-05-08 04:00:00,264758,
153.13,154.092,150.61,152.39,33017962.0,152.336,2024-05-09 04:00:00,291748,
154.2874,156.37,151.31,151.92,37652770.0,152.957,2024-05-10 04:00:00,352707,
151.28,153.33,150.4,150.56,27859183.0,151.9796,2024-05-13 04:00:00,289375,
150.43,153.4879,148.78,153.16,31938277.0,151.9838,2024-05-14 04:00:00,316830,
155.588,159.69,154.7,159.67,43195901.0,157.7896,2024-05-15 04:00:00,429503,
160.92,168.06,159.9,162.62,76726728.0,164.5259,2024-05-16 04:00:00,655197,
168.43,169.72,162.32,164.47,65944362.0,165.5903,2024-05-17 04:00:00,562946,
165.55,168.49,164.47,166.33,45618044.0,166.5043,2024-05-20 04:00:00,409078,
164.0,165.83,163.1,164.66,30005478.0,164.5183,2024-05-21 04:00:00,310289,
167.41,169.8148,163.86,165.52,47426719.0,166.6197,2024-05-22 04:00:00,444265,
170.18,173.14,158.27,160.43,91888841.0,163.5703,2024-05-23 04:00:00,818274,
161.412,167.66,160.25,166.36,54868646.0,165.3382,2024-05-24 04:00:00,477097,
169.42,174.55,164.96,171.61,66495414.0,170.9832,2024-05-28 04:00:00,590760,
167.46,168.48,162.91,165.14,56537503.0,165.4948,2024-05-29 04:00:00,545832,
167.9,168.7469,163.8,166.75,46479934.0,166.4572,2024-05-30 04:00:00,414781,
166.65,169.5,160.07,166.9,64331946.0,164.8824,2024-05-31 04:00:00,513674,
170.82,171.08,160.9101,163.55,59157590.0,164.6101,2024-06-03 04:00:00,601234,
162.84,164.83,158.8729,159.99,48157209.0,161.0079,2024-06-04 04:00:00,464192,
162.07,167.12,161.38,166.17,60519494.0,165.1318,2024-06-05 04:00:00,543579,
165.46,169.51,163.86,166.78,47153676.0,166.998,2024-06-06 04:00:00,454745,
166.59,169.45,165.86,167.87,44795998.0,167.6662,2024-06-07 04:00:00,390769,
162.48,165.55,159.61,160.34,67575627.0,161.8637,2024-06-10 04:00:00,664763,
160.5,161.54,156.92,158.96,40497092.0,158.7418,2024-06-11 04:00:00,432781,
160.32,162.24,158.62,160.24,48325813.0,160.4478,2024-06-12 04:00:00,472054,
160.4,162.66,157.31,159.9,44442511.0,159.4984,2024-06-13 04:00:00,438697,
158.5,161.3399,157.61,159.63,34054023.0,159.3347,2024-06-14 04:00:00,349643,
158.0,159.23,154.135,158.4,44507742.0,156.7464,2024-06-17 04:00:00,466561,
156.99,157.24,153.34,154.63,51852033.0,154.9268,2024-06-18 04:00:00,500906,
155.825,166.82,155.5,161.78,93245732.0,162.4388,2024-06-20 04:00:00,822602,
161.75,163.2,157.89,161.23,61334699.0,161.0302,2024-06-21 04:00:00,437513,
159.75,163.4,158.19,160.25,45954054.0,160.8874,2024-06-24 04:00:00,424419,
160.73,161.0,156.45,160.25,40975277.0,158.7256,2024-06-25 04:00:00,387552,
160.6,160.74,156.0,157.54,36973440.0,157.7316,2024-06-26 04:00:00,350609,
157.18,160.61,156.81,159.47,34018216.0,158.9457,2024-06-27 04:00:00,322846,
160.23,166.45,159.41,162.21,56204617.0,162.9725,2024-06-28 04:00:00,456727,
161.25,161.5068,153.64,157.69,50436691.0,156.3662,2024-07-01 04:00:00,531158,
157.04,164.58,156.7,164.31,57838610.0,160.9668,2024-07-02 04:00:00,496457,
164.2,165.26,162.51,163.9,26980906.0,163.7978,2024-07-03 04:00:00,268241,
165.97,174.0396,165.68,171.9,61857052.0,170.8895,2024-07-05 04:00:00,594821,
174.9,178.95,173.22,178.69,60223422.0,176.1448,2024-07-08 04:00:00,580297,
177.97,180.41,174.7,177.1,43471169.0,176.9829,2024-07-09 04:00:00,450560,
179.99,187.28,177.8,183.96,90246965.0,183.1197,2024-07-10 04:00:00,760292,
184.07,187.11,177.25,181.94,59231412.0,181.6416,2024-07-11 04:00:00,573706,
182.015,186.99,179.69,181.61,50827368.0,184.0856,2024-07-12 04:00:00,499607,
184.45,185.5,178.54,179.83,42202726.0,181.6543,2024-07-15 04:00:00,460580,
179.69,179.75,174.53,177.55,40633058.0,176.7067,2024-07-16 04:00:00,411713,
169.8,169.8,159.37,159.43,76954198.0,163.3368,2024-07-17 04:00:00,921399,
163.41,163.41,153.2,155.77,69420335.0,156.6714,2024-07-18 04:00:00,738413,
154.86,155.81,150.62,151.58,47513063.0,152.6567,2024-07-19 04:00:00,519158,
154.23,156.7,152.545,155.87,43912459.0,154.9745,2024-07-22 04:00:00,420949,
154.95,157.05,153.8,154.0,31950579.0,155.1252,2024-07-23 04:00:00,338749,
152.72,153.68,144.53,144.63,49203120.0,147.8616,2024-07-24 04:00:00,528623,
144.07,144.75,136.81,138.32,60578529.0,140.7771,2024-07-25 04:00:00,642176,
140.32,141.29,138.27,139.99,49435825.0,139.9616,2024-07-26 04:00:00,438215,
141.19,144.585,138.75,139.75,47447194.0,141.1355,2024-07-29 04:00:00,410153,
139.88,141.7,134.05,138.44,68801709.0,139.0066,2024-07-30 04:00:00,646329,
150.73,153.603,140.03,144.48,114306763.0,146.2838,2024-07-31 04:00:00,953574,
145.0,147.29,130.24,132.54,94731931.0,136.1942,2024-08-01 04:00:00,877192,
133.5,137.1,131.33,132.5,78561997.0,134.074,2024-08-02 04:00:00,802702,
122.16,139.14,121.825,134.82,76089361.0,133.6512,2024-08-05 04:00:00,840778,
135.15,136.44,129.1,130.18,64455613.0,131.9389,2024-08-06 04:00:00,635606,
133.75,136.24,128.37,128.67,54676492.0,132.4945,2024-08-07 04:00:00,517600,
131.97,136.48,128.94,136.32,49037454.0,134.1135,2024-08-08 04:00:00,462084,
134.69,135.5,132.44,134.27,40582992.0,134.0623,2024-08-09 04:00:00,404209,
134.44,137.99,133.23,136.77,39724343.0,136.3338,2024-08-12 04:00:00,347719,
138.12,141.19,137.52,141.13,42218019.0,140.0315,2024-08-13 04:00:00,380874,
143.0,143.25,137.64,140.75,35506434.0,139.9616,2024-08-14 04:00:00,334277,
143.0,147.96,141.81,147.36,43582387.0,146.022,2024-08-15 04:00:00,406665,
145.7,149.3693,145.2,148.56,31123927.0,148.1997,2024-08-16 04:00:00,295101,
148.43,155.365,147.72,155.28,60766854.0,152.5528,2024-08-19 04:00:00,544241,
156.49,162.04,154.51,156.4,76851158.0,157.6947,2024-08-20 04:00:00,655896,
156.12,158.65,155.07,157.81,42791246.0,157.0995,2024-08-21 04:00:00,366581,
158.87,159.84,151.01,151.7,45737257.0,154.3109,2024-08-22 04:00:00,433802,
153.6,156.4,151.83,154.98,43694642.0,154.1593,2024-08-23 04:00:00,388380,
154.7,158.28,148.9101,149.99,49893259.0,151.5733,2024-08-26 04:00:00,445073,
150.13,151.7,148.44,150.5,35102650.0,150.1563,2024-08-27 04:00:00,334955,
149.4,150.43,144.72,146.36,34075823.0,146.8213,2024-08-28 04:00:00,361132,
146.59,149.49,144.47,145.49,31602113.0,147.1442,2024-08-29 04:00:00,343370,
147.52,148.99,145.25,148.56,31169069.0,147.3766,2024-08-30 04:00:00,286699,
146.41,146.49,136.1,136.94,42172672.0,139.6719,2024-09-03 04:00:00,480897,
140.505,143.37,138.51,140.87,42130648.0,141.0585,2024-09-04 04:00:00,431712,
138.2,141.71,137.83,139.44,25023021.0,139.7089,2024-09-05 04:00:00,285314,
138.7,139.13,132.1101,134.35,39993507.0,134.4186,2024-09-06 04:00:00,448514,
136.1,138.445,134.86,138.15,27194508.0,137.0915,2024-09-09 04:00:00,302327,
139.06,143.08,137.25,142.84,37217528.0,140.4937,2024-09-10 04:00:00,328017,
145.325,150.16,140.71,149.86,50935390.0,145.6596,2024-09-11 04:00:00,469123,
148.43,151.54,147.65,150.77,29286166.0,149.9874,2024-09-12 04:00:00,320599,
152.32,153.03,150.7,152.31,25117241.0,152.0694,2024-09-13 04:00:00,270908,
151.7,154.44,150.912,152.08,27677761.0,152.2825,2024-09-16 04:00:00,282916,
153.55,154.045,149.225,150.82,29888994.0,151.6658,2024-09-17 04:00:00,306171,
150.9,152.82,148.01,148.29,26320083.0,149.9764,2024-09-18 04:00:00,306478,
153.81,159.25,152.77,156.74,44499983.0,156.6613,2024-09-19 04:00:00,449656,
156.0,157.45,152.47,155.95,40248201.0,154.9745,2024-09-20 04:00:00,351443,
156.445,157.19,154.97,156.75,21728542.0,156.2196,2024-09-23 04:00:00,232838,
157.46,159.64,154.58,158.32,27531200.0,157.6292,2024-09-24 04:00:00,295370,
158.5,162.95,158.18,162.02,35233264.0,161.3617,2024-09-25 04:00:00,369277,
167.055,168.68,164.05,167.49,38044919.0,166.7543,2024-09-26 04:00:00,434827,
167.48,168.7286,163.74,164.35,27876037.0,165.6216,2024-09-27 04:00:00,297735,
163.1,165.08,162.18,164.08,21920300.0,163.6701,2024-09-30 04:00:00,252085,
164.48,165.4,158.08,159.75,31831860.0,160.4724,2024-10-01 04:00:00,347496,
159.31,163.1,158.6689,159.78,24630431.0,160.8175,2024-10-02 04:00:00,278246,
159.71,166.7894,159.4,162.85,29598787.0,163.592,2024-10-03 04:00:00,324908,
166.533,171.21,164.42,170.9,44640296.0,168.5251,2024-10-04 04:00:00,471616,
171.08,172.41,168.21,170.97,38379930.0,170.4073,2024-10-07 04:00:00,415127,
171.75,173.6,170.0,172.8,34730152.0,172.0401,2024-10-08 04:00:00,362414,
174.05,174.05,169.55,171.02,33890735.0,170.9848,2024-10-09 04:00:00,366659,
169.76,172.01,162.0,164.18,75113590.0,165.9983,2024-10-10 04:00:00,676642,
164.185,169.35,163.0101,167.89,42136175.0,166.6025,2024-10-11 04:00:00,430673,
167.77,168.9,165.15,165.27,31757205.0,166.6214,2024-10-14 04:00:00,336756,
163.21,164.13,155.74,156.64,50768024.0,158.1843,2024-10-15 04:00:00,607839,
158.075,158.28,154.9159,156.13,30575773.0,156.5492,2024-10-16 04:00:00,324511,
