open,high,low,close,volume,vwap,timestamp,transactions,otc
36.81,37.34,36.73,37.11,30823542.0,37.0878,2024-04-05 04:00:00,137438,
37.2,37.58,37.13,37.5,29470287.0,37.4594,2024-04-08 04:00:00,134956,
37.51,37.77,37.2,37.73,30977654.0,37.5464,2024-04-09 04:00:00,141254,
37.18,37.23,36.55,36.65,37610659.0,36.7864,2024-04-10 04:00:00,197644,
36.75,36.75,36.05,36.35,38604029.0,36.3585,2024-04-11 04:00:00,179110,
35.81,36.09,35.53,35.79,47126090.0,35.7691,2024-04-12 04:00:00,218150,
36.33,36.76,35.755,35.95,44391988.0,36.0888,2024-04-15 04:00:00,208214,
36.095,36.17,34.15,34.68,95566094.0,34.747,2024-04-16 04:00:00,466516,
34.89,35.75,34.75,35.23,65951375.0,35.3367,2024-04-17 04:00:00,269692,
35.54,35.99,35.18,35.77,44506200.0,35.7644,2024-04-18 04:00:00,196200,
36.1,37.12,36.06,36.97,56273683.0,36.848,2024-04-19 04:00:00,249100,
37.0,37.91,36.87,37.73,43867084.0,37.5612,2024-04-22 04:00:00,192296,
37.94,38.42,37.83,38.37,39180332.0,38.2599,2024-04-23 04:00:00,179179,
38.02,38.495,38.0,38.32,28670551.0,38.3239,2024-04-24 04:00:00,151204,
37.93,38.27,37.375,37.91,41115959.0,37.7993,2024-04-25 04:00:00,179677,
37.93,38.31,37.78,37.83,28668680.0,37.9634,2024-04-26 04:00:00,134463,
37.84,38.06,37.45,37.55,26563913.0,37.702,2024-04-29 04:00:00,129180,
37.345,37.67,36.981,37.01,30283845.0,37.2327,2024-04-30 04:00:00,128784,
37.21,37.505,36.77,36.95,32277502.0,37.091,2024-05-01 04:00:00,161207,
37.37,37.49,36.65,36.88,34860256.0,36.8952,2024-05-02 04:00:00,150956,
37.25,37.53,37.08,37.25,34082662.0,37.2551,2024-05-03 04:00:00,162701,
37.66,37.79,37.36,37.69,28422334.0,37.6237,2024-05-06 04:00:00,122369,
37.695,38.145,37.695,37.84,29119475.0,37.9326,2024-05-07 04:00:00,129225,
37.7,37.82,37.515,37.71,32803303.0,37.6733,2024-05-08 04:00:00,135136,
37.53,38.42,37.46,38.28,26855355.0,38.1087,2024-05-09 04:00:00,125587,
