open,high,low,close,volume,vwap,timestamp,transactions,otc
96.27,97.58,95.95,97.15,369208.0,97.0354,2024-04-05 04:00:00,6473,
97.51,98.3,97.25,98.03,347068.0,97.9473,2024-04-08 04:00:00,4973,
98.46,98.83,97.53,98.36,589662.0,98.1993,2024-04-09 04:00:00,9473,
96.71,96.94,94.7406,95.57,962389.0,95.5511,2024-04-10 04:00:00,12106,
95.57,95.57,94.08,94.81,896097.0,94.716,2024-04-11 04:00:00,13188,
94.0,94.14,92.61,93.02,701316.0,93.1709,2024-04-12 04:00:00,11425,
93.68,94.45,92.385,92.75,711784.0,92.9877,2024-04-15 04:00:00,13736,
92.28,92.48,90.84,91.16,709058.0,91.248,2024-04-16 04:00:00,11436,
91.51,92.09,90.35,90.96,654813.0,90.9599,2024-04-17 04:00:00,9826,
91.58,91.89,90.34,91.01,718085.0,91.068,2024-04-18 04:00:00,10426,
91.25,92.62,91.15,92.14,351583.0,92.1306,2024-04-19 04:00:00,7653,
92.81,93.37,92.3,92.99,409046.0,92.8891,2024-04-22 04:00:00,7564,
93.33,93.99,93.04,93.82,606020.0,93.7273,2024-04-23 04:00:00,6878,
93.43,94.14,92.33,92.84,348887.0,92.9363,2024-04-24 04:00:00,6379,
92.06,93.04,91.28,92.72,3247106.0,91.7404,2024-04-25 04:00:00,6643,
91.71,91.9,90.48,90.91,3961611.0,90.9356,2024-04-26 04:00:00,9647,
91.2,91.43,89.75,90.23,666777.0,90.4392,2024-04-29 04:00:00,8607,
89.52,90.27,89.23,89.32,1133254.0,89.43,2024-04-30 04:00:00,7497,
89.46,90.8,89.0799,89.65,502118.0,89.8878,2024-05-01 04:00:00,9372,
90.18,90.355,89.1,89.89,778443.0,89.8401,2024-05-02 04:00:00,9864,
90.76,91.56,90.49,91.23,486885.0,90.9707,2024-05-03 04:00:00,8173,
91.71,93.19,91.36,93.05,531087.0,92.7435,2024-05-06 04:00:00,8207,
93.4,93.47,91.95,92.06,311054.0,92.2722,2024-05-07 04:00:00,6727,
91.6,92.89,91.58,92.86,391557.0,92.6525,2024-05-08 04:00:00,7582,
92.99,94.02,92.925,93.19,778107.0,93.3571,2024-05-09 04:00:00,9518,
93.72,94.2717,93.5,93.75,3098211.0,93.7514,2024-05-10 04:00:00,7946,
93.95,94.5039,93.85,94.11,656603.0,94.0974,2024-05-13 04:00:00,6679,
94.57,94.78,94.25,94.5,358995.0,94.4859,2024-05-14 04:00:00,7382,
94.75,95.47,94.75,95.25,551671.0,95.2338,2024-05-15 04:00:00,6489,
95.25,95.48,94.415,94.45,594166.0,94.6835,2024-05-16 04:00:00,7553,
94.78,95.33,94.44,95.22,652575.0,95.1304,2024-05-17 04:00:00,8958,
94.87,95.395,94.17,94.19,176316.0,94.6173,2024-05-20 04:00:00,3776,
94.19,95.42,93.94,94.63,660559.0,94.6421,2024-05-21 04:00:00,6179,
94.08,94.64,93.87,94.48,453184.0,94.3421,2024-05-22 04:00:00,6555,
94.74,95.39,93.85,94.55,841702.0,94.5565,2024-05-23 04:00:00,9498,
94.67,95.88,94.67,95.47,1433773.0,95.4629,2024-05-24 04:00:00,11749,
95.66,96.39,95.58,96.11,998905.0,95.9633,2024-05-28 04:00:00,13956,
92.85,92.85,86.77,86.98,3325769.0,88.5058,2024-05-29 04:00:00,34992,
87.66,88.03,86.72,87.63,1238144.0,87.4164,2024-05-30 04:00:00,19181,
87.99,89.15,87.39,89.11,946385.0,88.6729,2024-05-31 04:00:00,10195,
88.55,89.51,88.04,88.94,525890.0,88.7487,2024-06-03 04:00:00,11777,
88.42,88.42,86.84,87.53,902714.0,87.6518,2024-06-04 04:00:00,8659,
87.75,87.83,86.44,86.82,520663.0,86.8825,2024-06-05 04:00:00,7452,
86.86,87.22,86.04,86.53,811247.0,86.4342,2024-06-06 04:00:00,10421,
85.8,86.1,84.84,84.96,915073.0,85.1205,2024-06-07 04:00:00,14333,
84.34,84.84,83.77,84.45,622869.0,84.465,2024-06-10 04:00:00,9236,
84.0,84.0,83.0886,83.52,439299.0,83.4816,2024-06-11 04:00:00,7351,
84.91,85.68,84.5501,84.9,579953.0,85.0628,2024-06-12 04:00:00,8341,
84.73,84.73,83.68,84.47,403017.0,84.2872,2024-06-13 04:00:00,7433,
83.82,83.86,83.12,83.59,425144.0,83.5396,2024-06-14 04:00:00,7005,
83.49,83.87,83.36,83.79,399080.0,83.6706,2024-06-17 04:00:00,5979,
83.8,84.45,83.51,84.16,739728.0,83.9781,2024-06-18 04:00:00,8494,
84.09,84.5676,83.4601,83.89,400419.0,83.8651,2024-06-20 04:00:00,6365,
83.64,84.045,83.3948,83.77,508602.0,83.7637,2024-06-21 04:00:00,6724,
84.31,85.32,83.97,85.22,1361335.0,85.0964,2024-06-24 04:00:00,11284,
84.95,85.29,84.205,84.8,651586.0,84.7736,2024-06-25 04:00:00,5722,
84.11,84.45,83.65,84.41,575357.0,84.2552,2024-06-26 04:00:00,6964,
84.5,84.5,83.07,83.3,1435969.0,83.3225,2024-06-27 04:00:00,12200,
83.58,84.22,83.35,83.85,1258951.0,83.6315,2024-06-28 04:00:00,12832,
84.075,84.535,83.09,83.17,311066.0,83.3938,2024-07-01 04:00:00,6825,
83.19,84.4,83.19,84.3,1040447.0,84.1344,2024-07-02 04:00:00,9762,
84.76,85.33,84.55,84.97,254875.0,84.9999,2024-07-03 04:00:00,5434,
85.33,85.49,83.69,83.72,461308.0,83.9927,2024-07-05 04:00:00,6892,
83.95,84.26,83.42,84.25,1210895.0,83.9041,2024-07-08 04:00:00,15146,
84.14,84.63,83.58,84.6,1127553.0,84.347,2024-07-09 04:00:00,13731,
84.85,85.37,84.6,85.27,4165143.0,85.2359,2024-07-10 04:00:00,17314,
85.75,86.6,85.42,85.69,1349776.0,85.8932,2024-07-11 04:00:00,17536,
86.15,86.9,85.935,86.64,1319111.0,86.5633,2024-07-12 04:00:00,19701,
86.85,87.09,86.53,86.72,434567.0,86.784,2024-07-15 04:00:00,6593,
87.0,87.77,86.63,87.76,675994.0,87.5011,2024-07-16 04:00:00,10154,
87.3,87.78,86.91,87.25,673624.0,87.2678,2024-07-17 04:00:00,11771,
87.25,87.54,86.48,86.75,646126.0,86.8472,2024-07-18 04:00:00,9860,
86.4,87.11,86.12,86.95,575651.0,86.8462,2024-07-19 04:00:00,10376,
87.22,87.72,86.59,87.48,942142.0,87.3678,2024-07-22 04:00:00,14366,
87.36,87.72,86.94,87.46,849802.0,87.4459,2024-07-23 04:00:00,6763,
87.41,87.49,86.19,86.25,480535.0,86.5576,2024-07-24 04:00:00,8656,
86.12,87.31,85.68,86.98,517326.0,86.8332,2024-07-25 04:00:00,9264,
87.5,87.5,86.89,87.33,5031967.0,87.1698,2024-07-26 04:00:00,10120,
87.5,87.64,86.73,87.23,2169093.0,87.2536,2024-07-29 04:00:00,9059,
85.0,85.11,82.5,82.5,2569123.0,82.7828,2024-07-30 04:00:00,16526,
83.36,84.94,83.09,84.33,920308.0,84.038,2024-07-31 04:00:00,13488,
84.65,84.65,82.11,82.64,923006.0,82.8622,2024-08-01 04:00:00,13521,
81.63,81.79,80.14,80.73,1138921.0,80.6948,2024-08-02 04:00:00,17676,
77.56,79.22,76.98,79.1,777188.0,78.5918,2024-08-05 04:00:00,13314,
79.3,81.35,78.95,80.95,1572646.0,80.7783,2024-08-06 04:00:00,15777,
82.35,82.47,79.82,80.21,741787.0,80.5371,2024-08-07 04:00:00,8690,
80.67,81.39,80.6088,81.31,1008601.0,81.1885,2024-08-08 04:00:00,10222,
81.38,81.6,81.02,81.56,668681.0,81.4756,2024-08-09 04:00:00,7177,
81.7,81.78,80.97,81.37,1380775.0,81.3703,2024-08-12 04:00:00,7960,
81.99,82.92,81.82,82.88,454073.0,82.5703,2024-08-13 04:00:00,8139,
83.0,83.54,82.95,83.34,537503.0,83.3119,2024-08-14 04:00:00,7840,
84.03,85.13,83.93,84.71,638292.0,84.6184,2024-08-15 04:00:00,11179,
84.79,85.56,84.25,85.51,420762.0,85.3543,2024-08-16 04:00:00,10054,
85.85,86.64,85.64,86.4,2548870.0,86.4044,2024-08-19 04:00:00,8533,
86.25,86.85,86.09,86.66,809894.0,86.5114,2024-08-20 04:00:00,8155,
86.84,87.085,86.38,86.66,429904.0,86.6342,2024-08-21 04:00:00,7751,
86.71,86.98,86.41,86.77,706288.0,86.7732,2024-08-22 04:00:00,6577,
87.06,88.4273,86.97,88.28,1202755.0,88.06,2024-08-23 04:00:00,16262,
88.75,89.17,88.555,88.77,2325624.0,88.8069,2024-08-26 04:00:00,11921,
86.09,86.12,82.602,83.3,3541402.0,83.3967,2024-08-27 04:00:00,36414,
82.95,83.13,81.13,81.88,1723407.0,81.8254,2024-08-28 04:00:00,19848,
82.33,83.615,82.33,82.96,969066.0,83.0685,2024-08-29 04:00:00,13298,
82.81,83.745,82.81,83.62,537032.0,83.4315,2024-08-30 04:00:00,10333,
82.81,82.9,82.02,82.34,631716.0,82.3547,2024-09-03 04:00:00,11012,
82.0,83.34,81.95,83.05,717089.0,82.9708,2024-09-04 04:00:00,9061,
83.38,83.59,82.79,82.97,634398.0,83.076,2024-09-05 04:00:00,11014,
82.76,83.33,81.69,82.33,1214850.0,82.3658,2024-09-06 04:00:00,11094,
82.61,83.34,82.52,83.02,663004.0,83.0464,2024-09-09 04:00:00,7814,
83.01,83.08,81.7139,82.89,780329.0,82.4727,2024-09-10 04:00:00,9958,
82.77,84.5,82.69,84.35,909708.0,83.7681,2024-09-11 04:00:00,13402,
84.5,85.26,84.05,85.13,835482.0,84.8562,2024-09-12 04:00:00,9479,
85.58,86.73,85.2,85.56,849211.0,85.7352,2024-09-13 04:00:00,12238,
86.08,87.02,85.76,86.88,507042.0,86.6113,2024-09-16 04:00:00,7577,
87.06,88.12,87.06,87.71,997858.0,87.7348,2024-09-17 04:00:00,12012,
87.72,87.96,86.68,86.87,757156.0,87.126,2024-09-18 04:00:00,10423,
88.22,89.09,87.6758,88.8,885923.0,88.6748,2024-09-19 04:00:00,8862,
89.02,90.07,88.61,89.91,1665402.0,89.707,2024-09-20 04:00:00,15555,
90.07,90.24,89.48,89.99,569584.0,89.8973,2024-09-23 04:00:00,8455,
89.82,90.422,89.73,90.1,535834.0,90.1704,2024-09-24 04:00:00,9168,
90.09,90.24,89.45,89.45,451122.0,89.6284,2024-09-25 04:00:00,8994,
89.99,91.26,89.91,90.77,2371237.0,90.8015,2024-09-26 04:00:00,10223,
91.21,91.61,90.16,90.43,420839.0,90.6855,2024-09-27 04:00:00,8510,
90.45,90.68,89.71,90.2,455756.0,90.215,2024-09-30 04:00:00,8425,
90.32,91.425,89.745,91.25,1340855.0,90.9557,2024-10-01 04:00:00,21310,
91.13,92.19,90.84,91.04,862600.0,91.4786,2024-10-02 04:00:00,12674,
90.54,91.5,90.34,91.22,1382482.0,91.0956,2024-10-03 04:00:00,17793,
91.46,92.18,91.36,91.64,1127048.0,91.6211,2024-10-04 04:00:00,10865,
91.38,91.62,90.38,90.89,789085.0,91.0091,2024-10-07 04:00:00,12095,
90.69,90.83,89.78,90.01,613370.0,90.042,2024-10-08 04:00:00,8302,
89.61,90.02,89.34,89.74,679295.0,89.7488,2024-10-09 04:00:00,8150,
89.3,91.23,89.19,91.2,1089721.0,90.5553,2024-10-10 04:00:00,13597,
91.25,92.92,91.25,92.67,1735093.0,92.6468,2024-10-11 04:00:00,22238,
92.91,93.71,92.625,93.25,855068.0,93.318,2024-10-14 04:00:00,9667,
92.95,93.0,92.37,92.75,819955.0,92.6932,2024-10-15 04:00:00,11967,
93.04,94.05,93.01,93.85,936973.0,93.7947,2024-10-16 04:00:00,10231,
94.0,94.32,93.37,93.58,1031014.0,93.6496,2024-10-17 04:00:00,8920,
93.9,94.23,93.302,94.06,538867.0,93.9302,2024-10-18 04:00:00,8567,
94.0,94.09,92.33,92.79,732658.0,92.8062,2024-10-21 04:00:00,9631,
92.35,93.21,92.08,93.04,512459.0,92.7873,2024-10-22 04:00:00,8171,
92.68,93.38,92.42,93.33,1916762.0,93.1615,2024-10-23 04:00:00,13431,
92.84,93.85,92.68,93.39,942069.0,93.2471,2024-10-24 04:00:00,12646,
93.59,94.04,92.74,92.77,868526.0,93.1321,2024-10-25 04:00:00,11638,
92.73,93.66,92.73,93.5,4275567.0,93.2527,2024-10-28 04:00:00,7419,
92.88,93.59,92.72,93.0,573640.0,93.0027,2024-10-29 04:00:00,9782,
91.52,92.14,91.13,91.89,1911914.0,91.8785,2024-10-30 04:00:00,9442,
92.04,92.15,90.42,91.12,1113980.0,91.1056,2024-10-31 04:00:00,11050,
91.8,92.07,90.58,90.76,670410.0,90.9328,2024-11-01 04:00:00,9255,
90.85,91.165,89.66,90.06,1077637.0,90.1331,2024-11-04 05:00:00,11807,
90.44,91.31,90.19,91.29,563550.0,91.1236,2024-11-05 05:00:00,7716,
92.63,93.27,91.4,93.17,794787.0,92.7743,2024-11-06 05:00:00,12212,
93.68,94.0587,92.98,93.23,797478.0,93.3011,2024-11-07 05:00:00,9693,
92.92,93.015,92.31,92.91,468718.0,92.8075,2024-11-08 05:00:00,8689,
92.95,94.22,92.95,94.09,662003.0,93.9055,2024-11-11 05:00:00,10770,
93.7,94.31,93.39,94.09,427612.0,93.9783,2024-11-12 05:00:00,8665,
