open,high,low,close,volume,vwap,timestamp,transactions,otc
49.72,50.27,49.61,49.96,1332689.0,50.0014,2024-04-05 04:00:00,11324,
50.16,50.4375,50.045,50.41,3286478.0,50.3351,2024-04-08 04:00:00,20995,
50.48,50.66,49.89,50.46,1521720.0,50.3781,2024-04-09 04:00:00,12236,
49.73,49.86,48.8,49.02,2447579.0,49.091,2024-04-10 04:00:00,25048,
49.08,49.24,48.535,48.97,3855999.0,48.9322,2024-04-11 04:00:00,26544,
48.55,48.805,48.05,48.19,3309737.0,48.3155,2024-04-12 04:00:00,23367,
48.58,48.82,47.32,47.48,2014062.0,47.7186,2024-04-15 04:00:00,16728,
47.11,47.26,46.31,46.38,2765869.0,46.522,2024-04-16 04:00:00,22477,
46.54,47.0199,46.25,46.62,1308882.0,46.6022,2024-04-17 04:00:00,13518,
46.74,46.96,46.34,46.57,1219186.0,46.5889,2024-04-18 04:00:00,11907,
46.57,47.095,46.5,46.74,1868872.0,46.8116,2024-04-19 04:00:00,16625,
46.96,47.1,46.67,47.09,1884910.0,46.9436,2024-04-22 04:00:00,16022,
47.17,47.34,46.88,47.29,1807548.0,47.2253,2024-04-23 04:00:00,16885,
47.21,47.23,46.56,46.8,1745745.0,46.8085,2024-04-24 04:00:00,16090,
46.46,46.46,45.6369,46.23,1892040.0,46.0724,2024-04-25 04:00:00,15302,
46.25,46.62,46.16,46.56,1145238.0,46.4922,2024-04-26 04:00:00,10662,
46.75,46.78,46.18,46.44,1897313.0,46.4407,2024-04-29 04:00:00,14690,
46.01,46.22,45.84,45.9,1341794.0,45.994,2024-04-30 04:00:00,11142,
45.98,46.63,45.81,46.28,2188450.0,46.2034,2024-05-01 04:00:00,12424,
46.55,46.58,45.99,46.3,1796519.0,46.2627,2024-05-02 04:00:00,13523,
47.03,47.03,46.54,46.85,1572888.0,46.7852,2024-05-03 04:00:00,11426,
47.11,47.445,46.94,47.42,1092484.0,47.3215,2024-05-06 04:00:00,9866,
47.51,47.65,46.99,47.12,1304800.0,47.2121,2024-05-07 04:00:00,10979,
46.93,47.82,46.88,47.8,1248589.0,47.6149,2024-05-08 04:00:00,11103,
47.78,48.13,47.78,47.94,1038412.0,47.9949,2024-05-09 04:00:00,9440,
48.14,48.3406,47.88,48.02,839706.0,48.0426,2024-05-10 04:00:00,8634,
48.18,48.36,48.03,48.09,818521.0,48.1164,2024-05-13 04:00:00,8958,
48.29,48.51,47.955,48.01,1023904.0,48.1289,2024-05-14 04:00:00,9405,
48.32,48.64,48.19,48.52,759688.0,48.4558,2024-05-15 04:00:00,7467,
48.66,48.76,48.245,48.25,927602.0,48.3572,2024-05-16 04:00:00,10392,
48.43,48.51,48.17,48.39,1023295.0,48.359,2024-05-17 04:00:00,9552,
48.19,48.495,48.04,48.05,776119.0,48.2489,2024-05-20 04:00:00,8333,
48.03,48.59,48.03,48.53,1240387.0,48.457,2024-05-21 04:00:00,11644,
48.31,48.31,47.52,47.61,1503057.0,47.7849,2024-05-22 04:00:00,13554,
47.87,48.06,47.05,47.27,1707313.0,47.4028,2024-05-23 04:00:00,14522,
47.42,47.91,47.42,47.78,1906310.0,47.7479,2024-05-24 04:00:00,15388,
47.75,48.45,47.555,47.67,2726234.0,47.7893,2024-05-28 04:00:00,19752,
47.11,47.11,46.29,46.31,2105530.0,46.5867,2024-05-29 04:00:00,19616,
46.48,47.03,46.47,46.86,3705178.0,46.8505,2024-05-30 04:00:00,20269,
47.1,47.35,46.59,47.33,2331928.0,47.0843,2024-05-31 04:00:00,15830,
47.33,47.62,46.66,47.23,1918019.0,47.129,2024-06-03 04:00:00,18544,
47.0,47.28,46.625,47.21,1604166.0,46.9769,2024-06-04 04:00:00,13295,
47.39,47.5,47.09,47.48,1346671.0,47.337,2024-06-05 04:00:00,10752,
47.48,47.54,47.145,47.33,1572568.0,47.3107,2024-06-06 04:00:00,14554,
47.0,47.25,46.89,46.96,1504132.0,47.0582,2024-06-07 04:00:00,13587,
46.81,46.88,46.35,46.4,1657836.0,46.5104,2024-06-10 04:00:00,13643,
46.19,46.435,45.96,46.32,1127395.0,46.249,2024-06-11 04:00:00,12427,
46.98,47.55,46.91,47.34,1676385.0,47.325,2024-06-12 04:00:00,21268,
47.17,47.25,46.83,47.04,1229334.0,47.0255,2024-06-13 04:00:00,11672,
46.63,46.64,46.07,46.35,1292037.0,46.3515,2024-06-14 04:00:00,12337,
46.2,46.42,46.08,46.38,1954972.0,46.3437,2024-06-17 04:00:00,9361,
46.43,46.65,46.075,46.25,2907339.0,46.2818,2024-06-18 04:00:00,16757,
46.09,46.13,45.28,45.3,1824012.0,45.5125,2024-06-20 04:00:00,16595,
45.25,45.63,45.09,45.12,2037658.0,45.1977,2024-06-21 04:00:00,14387,
45.6,46.05,45.39,46.01,1725498.0,45.8529,2024-06-24 04:00:00,14007,
45.79,45.89,45.4525,45.79,1378393.0,45.7477,2024-06-25 04:00:00,13510,
45.52,45.57,45.27,45.49,931603.0,45.4651,2024-06-26 04:00:00,9679,
