open,high,low,close,volume,vwap,timestamp,transactions,otc
60.82,62.04,60.4237,61.6,12686337.0,61.3721,2024-04-05 04:00:00,105938,
61.67,62.32,61.66,61.73,10708294.0,61.8677,2024-04-08 04:00:00,80121,
61.75,62.09,60.905,61.66,10302993.0,61.4616,2024-04-09 04:00:00,89837,
60.52,61.305,59.97,60.18,18087994.0,60.3886,2024-04-10 04:00:00,130556,
60.35,60.89,59.5,60.71,18181851.0,60.4252,2024-04-11 04:00:00,133228,
62.29,62.6,58.75,59.68,28561854.0,60.0355,2024-04-12 04:00:00,235146,
60.18,60.91,58.19,58.56,19242295.0,58.9644,2024-04-15 04:00:00,141708,
58.18,58.55,56.74,57.02,23211424.0,57.1809,2024-04-16 04:00:00,176896,
57.49,58.89,57.36,58.17,15971649.0,58.2064,2024-04-17 04:00:00,128470,
58.49,58.97,57.93,58.32,12272458.0,58.3845,2024-04-18 04:00:00,96304,
58.23,59.439,58.23,59.14,13410056.0,59.0961,2024-04-19 04:00:00,107047,
59.44,61.055,59.2,60.95,14513095.0,60.4664,2024-04-22 04:00:00,123944,
61.08,62.77,61.02,62.67,17427795.0,62.3768,2024-04-23 04:00:00,142567,
62.13,62.73,61.84,62.47,10122993.0,62.3997,2024-04-24 04:00:00,97455,
61.84,62.43,61.1,61.79,13339114.0,61.7394,2024-04-25 04:00:00,95558,
61.51,63.225,61.51,62.66,16364096.0,62.5141,2024-04-26 04:00:00,119598,
62.74,63.355,61.955,62.26,11296694.0,62.5141,2024-04-29 04:00:00,90210,
61.91,62.335,61.29,61.33,11163388.0,61.6419,2024-04-30 04:00:00,79845,
61.48,62.27,60.8814,61.35,14100556.0,61.3754,2024-05-01 04:00:00,122262,
62.19,62.19,60.98,61.54,11292522.0,61.4872,2024-05-02 04:00:00,96439,
61.51,62.15,61.41,61.52,11048877.0,61.6482,2024-05-03 04:00:00,95044,
62.055,62.94,61.72,62.81,13386734.0,62.5695,2024-05-06 04:00:00,106743,
62.82,63.16,61.97,62.0,10158245.0,62.3097,2024-05-07 04:00:00,89237,
61.64,62.95,61.51,62.75,9755184.0,62.5362,2024-05-08 04:00:00,80976,
62.38,63.4299,62.285,63.32,11563041.0,63.1202,2024-05-09 04:00:00,82540,
63.58,63.92,63.12,63.53,9548738.0,63.5149,2024-05-10 04:00:00,81177,
63.62,63.95,63.37,63.4,6617927.0,63.5338,2024-05-13 04:00:00,60309,
63.51,63.965,63.23,63.59,8322542.0,63.6613,2024-05-14 04:00:00,73397,
63.63,64.39,63.6015,64.24,9461304.0,64.0134,2024-05-15 04:00:00,99484,
64.1,64.47,63.425,64.14,11682207.0,64.146,2024-05-16 04:00:00,90017,
64.38,64.55,63.9,64.07,8418394.0,64.1624,2024-05-17 04:00:00,68736,
64.07,64.25,62.92,63.16,11792074.0,63.4422,2024-05-20 04:00:00,88049,
63.26,64.88,63.2,64.74,11197241.0,64.3322,2024-05-21 04:00:00,95908,
64.29,64.98,63.64,63.82,8855269.0,64.1549,2024-05-22 04:00:00,83287,
63.8,64.03,62.5,63.02,11535002.0,63.2323,2024-05-23 04:00:00,110582,
63.33,63.965,63.27,63.58,9424967.0,63.581,2024-05-24 04:00:00,70142,
63.23,63.57,62.35,62.45,8404372.0,62.8024,2024-05-28 04:00:00,77601,
61.56,62.18,61.2,62.01,7224238.0,61.7944,2024-05-29 04:00:00,71951,
62.1,62.48,61.61,61.93,10072775.0,62.0212,2024-05-30 04:00:00,86852,
62.0,62.39,61.44,62.31,17351604.0,62.16,2024-05-31 04:00:00,91813,
62.92,63.0,61.32,61.92,11373921.0,61.8929,2024-06-03 04:00:00,95195,
61.02,62.029,60.76,61.03,10424195.0,61.1744,2024-06-04 04:00:00,93163,
61.28,61.86,60.93,61.77,8780723.0,61.5228,2024-06-05 04:00:00,77516,
61.8,62.045,61.25,61.94,8537891.0,61.7963,2024-06-06 04:00:00,76834,
61.6,62.585,61.58,61.78,8260840.0,61.9801,2024-06-07 04:00:00,71929,
