open,high,low,close,volume,vwap,timestamp,transactions,otc
16.74,16.97,16.715,16.87,3038943.0,16.8583,2024-04-05 04:00:00,13488,
17.08,17.15,17.02,17.11,2546709.0,17.0832,2024-04-08 04:00:00,9664,
17.13,17.18,16.97,17.03,1710358.0,17.0331,2024-04-09 04:00:00,9159,
16.84,17.07,16.76,16.84,2760802.0,16.8665,2024-04-10 04:00:00,15511,
16.8,16.81,16.435,16.65,2713785.0,16.6086,2024-04-11 04:00:00,12369,
15.92,16.015,15.765,15.81,4596377.0,15.8814,2024-04-12 04:00:00,18146,
16.11,16.18,15.84,15.84,4754532.0,15.9635,2024-04-15 04:00:00,16380,
15.74,15.75,15.58,15.64,4457034.0,15.6499,2024-04-16 04:00:00,17290,
16.03,16.0875,15.76,15.86,4279306.0,15.8818,2024-04-17 04:00:00,15821,
16.07,16.19,16.0,16.04,5720792.0,16.071,2024-04-18 04:00:00,15912,
16.18,16.26,16.125,16.2,3859946.0,16.2002,2024-04-19 04:00:00,14644,
16.29,16.47,16.265,16.41,2614534.0,16.3635,2024-04-22 04:00:00,10128,
16.54,16.725,16.525,16.72,3116496.0,16.6714,2024-04-23 04:00:00,13760,
15.66,15.73,15.6,15.66,3147512.0,15.6601,2024-04-24 04:00:00,10581,
15.57,15.77,15.54,15.72,2768357.0,15.6796,2024-04-25 04:00:00,11955,
15.85,15.98,15.85,15.94,2552220.0,15.93,2024-04-26 04:00:00,10506,
16.0,16.0001,15.85,15.88,2195484.0,15.9112,2024-04-29 04:00:00,10072,
15.89,15.93,15.79,15.8,2506049.0,15.8456,2024-04-30 04:00:00,10464,
15.79,16.08,15.77,15.93,2110352.0,15.9076,2024-05-01 04:00:00,12444,
16.975,17.13,16.85,17.05,5900680.0,17.0149,2024-05-02 04:00:00,19150,
17.1,17.21,17.0022,17.18,4083595.0,17.1154,2024-05-03 04:00:00,17163,
17.28,17.36,17.24,17.28,2365815.0,17.2912,2024-05-06 04:00:00,12346,
17.39,17.44,17.3,17.34,2597378.0,17.3607,2024-05-07 04:00:00,11904,
17.2,17.32,17.185,17.32,2260396.0,17.2596,2024-05-08 04:00:00,11412,
17.3,17.34,17.2501,17.28,1787691.0,17.2935,2024-05-09 04:00:00,8735,
17.32,17.35,17.2505,17.29,4119069.0,17.2959,2024-05-10 04:00:00,16366,
17.39,17.53,17.3897,17.44,2137265.0,17.4491,2024-05-13 04:00:00,11414,
17.66,17.82,17.64,17.8,2083240.0,17.7475,2024-05-14 04:00:00,11579,
17.64,17.675,17.56,17.64,1973359.0,17.6103,2024-05-15 04:00:00,10686,
17.55,17.67,17.525,17.6,1598618.0,17.6074,2024-05-16 04:00:00,8910,
17.83,18.0,17.7899,17.98,2188645.0,17.945,2024-05-17 04:00:00,11009,
18.01,18.035,17.865,17.87,1376477.0,17.947,2024-05-20 04:00:00,9008,
17.94,18.02,17.935,17.98,1266439.0,17.9751,2024-05-21 04:00:00,8373,
17.86,17.92,17.73,17.8,1350032.0,17.813,2024-05-22 04:00:00,8555,
17.85,17.89,17.62,17.64,1429474.0,17.7376,2024-05-23 04:00:00,8528,
17.63,17.765,17.62,17.74,1307594.0,17.7176,2024-05-24 04:00:00,7788,
17.81,17.815,17.65,17.73,2070232.0,17.7423,2024-05-28 04:00:00,11437,
17.43,17.5,17.3601,17.45,1338839.0,17.4501,2024-05-29 04:00:00,9362,
17.65,17.79,17.61,17.78,1885847.0,17.7039,2024-05-30 04:00:00,10131,
17.8,17.9,17.68,17.89,1947716.0,17.7893,2024-05-31 04:00:00,10261,
17.96,18.04,17.87,18.03,1941689.0,17.9485,2024-06-03 04:00:00,13855,
17.69,17.76,17.441,17.51,1560728.0,17.5567,2024-06-04 04:00:00,10736,
17.69,17.705,17.47,17.54,1694809.0,17.5489,2024-06-05 04:00:00,11022,
17.73,17.83,17.69,17.79,1611760.0,17.752,2024-06-06 04:00:00,8730,
17.86,17.9,17.67,17.67,1907007.0,17.7293,2024-06-07 04:00:00,10593,
17.4,17.49,17.32,17.43,1268335.0,17.4092,2024-06-10 04:00:00,8965,
17.12,17.18,16.955,17.09,2480175.0,17.0988,2024-06-11 04:00:00,12133,
17.45,17.525,17.33,17.4,2327184.0,17.4208,2024-06-12 04:00:00,12664,
17.0,17.0,16.665,16.71,2750121.0,16.742,2024-06-13 04:00:00,13426,
16.24,16.44,16.16,16.4,2440268.0,16.3376,2024-06-14 04:00:00,12891,
16.84,17.04,16.735,17.01,2339201.0,16.9138,2024-06-17 04:00:00,12704,
17.13,17.18,16.935,16.95,1801595.0,17.0053,2024-06-18 04:00:00,9720,
16.68,16.885,16.66,16.81,1773939.0,16.7989,2024-06-20 04:00:00,12112,
16.58,16.65,16.45,16.62,1978972.0,16.5997,2024-06-21 04:00:00,9288,
16.91,17.045,16.88,17.02,2211390.0,16.9879,2024-06-24 04:00:00,11367,
16.93,17.0199,16.9,16.98,1625391.0,16.9685,2024-06-25 04:00:00,9744,
16.79,17.0,16.78,16.99,1443803.0,16.9172,2024-06-26 04:00:00,8068,
17.02,17.095,17.0,17.05,1260813.0,17.0495,2024-06-27 04:00:00,6883,
16.99,17.165,16.99,17.14,1736783.0,17.0895,2024-06-28 04:00:00,10638,
17.67,17.68,17.5106,17.58,2840093.0,17.5831,2024-07-01 04:00:00,10210,
17.52,17.61,17.44,17.61,1792812.0,17.5395,2024-07-02 04:00:00,9062,
17.78,17.82,17.72,17.77,997435.0,17.7678,2024-07-03 04:00:00,6486,
17.89,17.92,17.74,17.88,1420130.0,17.8519,2024-07-05 04:00:00,8187,
18.03,18.07,17.89,17.92,1181867.0,17.94,2024-07-08 04:00:00,7819,
17.82,17.995,17.8,17.89,1273429.0,17.9034,2024-07-09 04:00:00,8126,
18.04,18.1,18.0,18.09,1243268.0,18.0508,2024-07-10 04:00:00,7177,
18.16,18.195,18.07,18.12,1102828.0,18.1367,2024-07-11 04:00:00,7440,
18.22,18.315,18.18,18.24,1241328.0,18.2554,2024-07-12 04:00:00,7085,
18.21,18.22,18.08,18.1,1127949.0,18.1516,2024-07-15 04:00:00,8185,
18.15,18.31,18.1,18.29,1531918.0,18.2048,2024-07-16 04:00:00,7904,
