open,high,low,close,volume,vwap,timestamp,transactions,otc
92.25,93.29,91.61,92.47,4654937.0,92.5145,2024-04-05 04:00:00,68421,
93.0,93.4,92.2,93.21,4601943.0,93.0773,2024-04-08 04:00:00,60681,
93.61,94.14,92.83,94.08,4952411.0,93.7695,2024-04-09 04:00:00,67967,
92.27,92.89,91.18,91.65,5994209.0,91.7521,2024-04-10 04:00:00,82819,
91.72,91.8,85.01,86.84,24631768.0,87.5701,2024-04-11 04:00:00,276469,
85.8,86.81,85.12,86.19,12789787.0,85.9753,2024-04-12 04:00:00,155357,
87.8,89.13,85.49,86.99,9553914.0,87.2709,2024-04-15 04:00:00,123937,
90.71,91.1,88.0,89.14,18291601.0,89.5313,2024-04-16 04:00:00,218009,
90.13,91.44,89.67,90.08,9544640.0,90.3803,2024-04-17 04:00:00,114312,
90.66,91.11,89.74,90.26,6751978.0,90.4331,2024-04-18 04:00:00,83874,
90.36,91.62,90.36,90.66,8143003.0,90.9443,2024-04-19 04:00:00,90402,
91.11,92.66,90.705,92.09,7294357.0,91.8806,2024-04-22 04:00:00,78024,
92.16,94.05,92.16,93.76,6393943.0,93.513,2024-04-23 04:00:00,81534,
93.11,94.07,93.03,93.85,5100898.0,93.6855,2024-04-24 04:00:00,60414,
93.0,93.65,91.65,92.56,6770646.0,92.4121,2024-04-25 04:00:00,67200,
92.5,93.31,92.4,92.83,4606109.0,92.9512,2024-04-26 04:00:00,57527,
91.33,92.81,91.33,92.11,4420459.0,92.3073,2024-04-29 04:00:00,56979,
91.6,91.83,90.55,90.84,5859963.0,90.9313,2024-04-30 04:00:00,73479,
91.28,92.48,90.73,91.54,4714871.0,91.4486,2024-05-01 04:00:00,62203,
92.54,92.92,91.6,92.65,4449194.0,92.3981,2024-05-02 04:00:00,61556,
93.34,94.42,93.28,93.64,5043459.0,93.6923,2024-05-03 04:00:00,74040,
94.56,94.91,93.7,94.79,5105096.0,94.4335,2024-05-06 04:00:00,70742,
94.915,95.93,94.71,95.79,7417962.0,95.6152,2024-05-07 04:00:00,86622,
95.43,96.05,95.1,95.64,4662709.0,95.6642,2024-05-08 04:00:00,62607,
95.59,98.26,95.59,98.11,6766675.0,97.5172,2024-05-09 04:00:00,84839,
98.74,98.99,97.625,98.28,6118425.0,98.2241,2024-05-10 04:00:00,68063,
98.75,98.97,98.42,98.56,5379209.0,98.704,2024-05-13 04:00:00,70935,
99.0,100.1799,98.77,99.38,6216566.0,99.64,2024-05-14 04:00:00,76293,
100.04,100.98,99.99,100.52,6938530.0,100.4837,2024-05-15 04:00:00,93139,
100.15,100.41,99.4507,99.58,4339280.0,99.8384,2024-05-16 04:00:00,61947,
99.9,100.3,99.3,100.22,4690752.0,100.069,2024-05-17 04:00:00,54123,
100.05,100.89,99.38,100.33,5690176.0,100.3615,2024-05-20 04:00:00,63157,
100.31,103.25,100.15,101.53,8337061.0,101.5357,2024-05-21 04:00:00,87724,
101.28,102.52,100.17,100.74,5194285.0,100.8757,2024-05-22 04:00:00,62694,
100.38,100.56,98.48,98.92,5594499.0,99.1412,2024-05-23 04:00:00,70455,
99.45,99.91,98.81,98.97,3550530.0,99.2546,2024-05-24 04:00:00,51305,
98.43,99.46,98.4,98.67,5542020.0,98.8184,2024-05-28 04:00:00,58533,
97.37,97.7,96.47,97.27,4679722.0,97.3341,2024-05-29 04:00:00,61680,
97.69,97.81,96.59,97.23,4548842.0,97.0599,2024-05-30 04:00:00,56116,
97.33,97.96,96.4,97.84,7155514.0,97.432,2024-05-31 04:00:00,68249,
98.16,98.16,96.53,97.41,5671162.0,97.3363,2024-06-03 04:00:00,56279,
96.25,97.55,95.67,96.58,5409640.0,96.6057,2024-06-04 04:00:00,61212,
96.84,97.605,96.5,96.66,4499655.0,96.8861,2024-06-05 04:00:00,56714,
96.48,97.45,96.255,96.85,4741248.0,96.8509,2024-06-06 04:00:00,53216,
96.12,97.68,95.93,97.14,4018360.0,97.1694,2024-06-07 04:00:00,49109,
96.62,96.83,95.41,96.39,4566071.0,96.3775,2024-06-10 04:00:00,53746,
96.46,96.46,94.725,95.43,5329972.0,95.454,2024-06-11 04:00:00,59702,
97.32,97.89,95.6,95.65,5435711.0,96.2736,2024-06-12 04:00:00,63458,
95.5,95.55,94.61,95.21,3955894.0,95.1338,2024-06-13 04:00:00,52448,
94.39,95.52,93.99,95.5,3406646.0,95.0928,2024-06-14 04:00:00,46803,
95.01,97.19,94.68,97.04,4874345.0,96.6545,2024-06-17 04:00:00,55586,
97.02,97.6899,96.81,97.57,4558350.0,97.4518,2024-06-18 04:00:00,47170,
97.64,98.03,97.11,97.44,3956843.0,97.4849,2024-06-20 04:00:00,51616,
97.32,97.36,95.89,96.16,10983279.0,96.4749,2024-06-21 04:00:00,65493,
96.73,97.66,96.1816,97.1,8418206.0,97.13,2024-06-24 04:00:00,80096,
96.79,98.34,96.68,97.8,7468726.0,97.7665,2024-06-25 04:00:00,72677,
97.38,97.68,96.08,96.89,6514227.0,96.8365,2024-06-26 04:00:00,55676,
96.08,96.34,95.17,95.77,5437808.0,95.7232,2024-06-27 04:00:00,63787,
96.74,97.32,96.16,97.19,9058849.0,96.9324,2024-06-28 04:00:00,80478,
97.52,99.38,97.44,99.16,7420618.0,98.798,2024-07-01 04:00:00,70107,
98.97,99.795,98.62,99.65,5571071.0,99.4008,2024-07-02 04:00:00,56275,
99.925,100.6,99.5,100.2,3111960.0,100.1371,2024-07-03 04:00:00,39275,
100.1,100.106,98.91,99.59,3633345.0,99.4452,2024-07-05 04:00:00,48506,
99.83,101.27,99.83,100.59,3884437.0,100.6676,2024-07-08 04:00:00,49070,
100.6,102.895,99.98,102.61,7114091.0,102.1029,2024-07-09 04:00:00,82908,
102.51,103.51,102.06,103.46,5618976.0,103.1412,2024-07-10 04:00:00,61139,
104.25,105.29,103.94,104.64,7766147.0,104.7487,2024-07-11 04:00:00,92100,
105.0,105.82,103.97,104.09,7060573.0,104.7673,2024-07-12 04:00:00,85660,
103.94,106.53,103.24,105.26,10093880.0,105.1901,2024-07-15 04:00:00,107330,
104.13,109.11,102.81,106.22,16716422.0,106.23,2024-07-16 04:00:00,203994,
105.09,107.71,104.53,106.96,11411981.0,106.4148,2024-07-17 04:00:00,129981,
106.53,107.63,104.33,104.81,9130735.0,105.3525,2024-07-18 04:00:00,107815,
104.71,104.715,101.73,102.09,12555898.0,102.8082,2024-07-19 04:00:00,114460,
102.47,103.225,101.95,102.44,8931224.0,102.5437,2024-07-22 04:00:00,78174,
102.45,104.1699,102.18,103.5,7400632.0,103.4266,2024-07-23 04:00:00,76394,
102.86,104.0,101.745,101.97,7967609.0,102.4352,2024-07-24 04:00:00,70395,
102.08,104.185,101.85,103.56,5582494.0,103.462,2024-07-25 04:00:00,67735,
104.86,105.89,104.035,104.19,6599639.0,104.7759,2024-07-26 04:00:00,72150,
104.47,104.57,102.33,102.48,5183399.0,102.7244,2024-07-29 04:00:00,63130,
103.56,104.12,102.78,103.76,6225723.0,103.5423,2024-07-30 04:00:00,66408,
103.08,104.32,102.25,103.21,5444595.0,103.4037,2024-07-31 04:00:00,67039,
103.745,103.9899,101.19,101.76,5678126.0,101.8744,2024-08-01 04:00:00,69699,
99.0,99.02,95.04,95.85,11120672.0,96.3151,2024-08-02 04:00:00,133311,
92.65,93.37,90.94,92.07,9659510.0,92.2956,2024-08-05 04:00:00,127800,
92.2,93.84,91.52,92.97,6068264.0,92.9031,2024-08-06 04:00:00,76667,
94.61,95.33,92.01,92.11,7215738.0,93.1211,2024-08-07 04:00:00,94939,
93.49,95.04,92.775,94.63,6592349.0,94.5495,2024-08-08 04:00:00,73517,
94.29,95.12,94.02,94.72,3542800.0,94.6577,2024-08-09 04:00:00,51725,
94.9,95.22,93.54,94.84,4196403.0,94.7359,2024-08-12 04:00:00,57095,
95.77,96.795,94.95,96.71,5941612.0,96.2708,2024-08-13 04:00:00,65459,
97.76,100.59,97.51,99.44,10161752.0,99.5472,2024-08-14 04:00:00,116641,
100.8,101.205,100.15,100.64,5885080.0,100.7081,2024-08-15 04:00:00,75297,
100.63,101.5,100.46,101.44,4159725.0,101.1063,2024-08-16 04:00:00,51507,
101.52,102.04,101.3,101.75,4070505.0,101.6705,2024-08-19 04:00:00,43478,
101.25,101.63,100.6,100.78,3396882.0,100.9521,2024-08-20 04:00:00,50168,
101.1,101.23,99.96,100.69,3576018.0,100.5546,2024-08-21 04:00:00,43117,
100.755,100.98,99.9,100.56,2777316.0,100.4218,2024-08-22 04:00:00,49085,
100.94,102.58,100.82,101.89,3814813.0,101.8537,2024-08-23 04:00:00,51063,
103.04,103.05,101.98,102.33,2678963.0,102.36,2024-08-26 04:00:00,40103,
102.46,102.852,102.04,102.08,2537170.0,102.3228,2024-08-27 04:00:00,37753,
101.89,102.7,101.42,102.2,2836756.0,102.0966,2024-08-28 04:00:00,46982,
102.92,102.92,101.282,102.6,3325667.0,102.4805,2024-08-29 04:00:00,45733,
102.905,103.81,102.1,103.61,4951396.0,103.2484,2024-08-30 04:00:00,52510,
102.85,103.255,98.46,99.27,6634120.0,99.8191,2024-09-03 04:00:00,98673,
99.74,101.32,99.675,100.15,4212707.0,100.3187,2024-09-04 04:00:00,66879,
101.0,101.3,99.12,99.56,4462452.0,99.7591,2024-09-05 04:00:00,65448,
99.7,100.8,96.14,96.59,9246905.0,97.3183,2024-09-06 04:00:00,111079,
97.755,99.02,97.595,98.18,5281476.0,98.3339,2024-09-09 04:00:00,72763,
98.4,98.43,94.89,96.62,7798604.0,96.2032,2024-09-10 04:00:00,109801,
95.49,97.14,94.09,97.03,6764081.0,95.9697,2024-09-11 04:00:00,88452,
97.37,97.69,95.68,96.64,4752899.0,96.5593,2024-09-12 04:00:00,68072,
96.87,98.74,96.85,98.25,5354881.0,98.1805,2024-09-13 04:00:00,73088,
99.145,100.19,98.76,100.09,4467201.0,99.7233,2024-09-16 04:00:00,62354,
100.68,100.82,99.44,99.84,4748588.0,100.0325,2024-09-17 04:00:00,64898,
100.12,101.01,99.24,99.3,5195894.0,99.7707,2024-09-18 04:00:00,81361,
