open,high,low,close,volume,vwap,timestamp,transactions,otc
420.01,426.51,418.32,425.52,16554761.0,424.2194,2024-04-05 04:00:00,353311,
425.17,427.28,423.3,424.59,14272387.0,424.9753,2024-04-08 04:00:00,316897,
426.44,427.74,421.62,426.28,12512289.0,424.8551,2024-04-09 04:00:00,298321,
422.19,424.03,419.7,423.26,16216581.0,421.8454,2024-04-10 04:00:00,377856,
425.82,429.37,422.36,427.93,17966423.0,426.7616,2024-04-11 04:00:00,345478,
424.05,425.1794,419.77,421.9,19253750.0,422.2518,2024-04-12 04:00:00,372088,
426.6,426.82,413.43,413.64,20273538.0,417.9412,2024-04-15 04:00:00,419801,
414.57,418.4,413.7301,414.58,16765616.0,415.5907,2024-04-16 04:00:00,344530,
417.25,418.88,410.33,411.84,15855485.0,413.5457,2024-04-17 04:00:00,353077,
410.63,411.89,403.95,404.27,21029917.0,406.9816,2024-04-18 04:00:00,422714,
404.03,405.48,397.77,399.12,30565789.0,400.612,2024-04-19 04:00:00,470293,
400.08,402.85,395.75,400.96,20286875.0,400.2445,2024-04-22 04:00:00,395628,
404.235,408.2,403.06,407.57,15734501.0,406.8605,2024-04-23 04:00:00,332315,
409.56,412.47,406.78,409.06,15065330.0,408.7855,2024-04-24 04:00:00,340119,
394.03,399.8899,388.03,399.04,40586450.0,397.6595,2024-04-25 04:00:00,782685,
412.17,413.0,405.7601,406.32,29694654.0,408.9117,2024-04-26 04:00:00,532057,
405.25,406.32,399.19,402.25,19582091.0,401.615,2024-04-29 04:00:00,424047,
401.49,402.16,389.17,389.33,28781374.0,393.8985,2024-04-30 04:00:00,511476,
392.61,401.7199,390.31,394.94,23562481.0,395.2703,2024-05-01 04:00:00,459339,
397.66,399.93,394.6515,397.84,17709364.0,397.31,2024-05-02 04:00:00,336629,
402.28,407.15,401.86,406.66,17446724.0,405.7904,2024-05-03 04:00:00,356126,
408.76,413.93,406.3701,413.54,16996639.0,411.0587,2024-05-06 04:00:00,351011,
414.66,414.67,409.09,409.34,20018228.0,410.7931,2024-05-07 04:00:00,334643,
408.17,412.23,406.7132,410.54,11792308.0,410.4116,2024-05-08 04:00:00,272545,
410.57,412.72,409.1,412.32,14689727.0,411.668,2024-05-09 04:00:00,259285,
412.935,415.38,411.8,414.74,13402281.0,414.2665,2024-05-10 04:00:00,319661,
418.01,418.348,410.82,413.72,15440226.0,413.8789,2024-05-13 04:00:00,342746,
412.02,417.49,411.55,416.56,15109306.0,414.905,2024-05-14 04:00:00,340286,
417.9,423.81,417.27,423.08,22239533.0,421.8711,2024-05-15 04:00:00,414733,
421.8,425.42,420.35,420.99,17530050.0,422.1947,2024-05-16 04:00:00,363229,
422.54,422.92,418.025,420.21,15352239.0,420.0833,2024-05-17 04:00:00,291491,
420.21,426.77,419.99,425.34,16272137.0,424.8492,2024-05-20 04:00:00,325281,
426.825,432.97,424.85,429.04,21453255.0,429.2544,2024-05-21 04:00:00,391818,
430.09,432.41,427.13,430.52,18073698.0,430.0097,2024-05-22 04:00:00,326622,
432.97,433.6,425.424,427.0,17211689.0,429.2132,2024-05-23 04:00:00,363758,
427.19,431.055,424.41,430.16,11855285.0,428.8383,2024-05-24 04:00:00,301686,
429.63,430.82,426.6,430.32,15718024.0,429.0925,2024-05-28 04:00:00,380657,
425.69,430.94,425.69,429.17,15517130.0,429.2916,2024-05-29 04:00:00,332791,
424.3,424.3,414.24,414.67,28424847.0,418.0696,2024-05-30 04:00:00,553475,
416.75,416.75,404.51,415.13,47995250.0,411.8715,2024-05-31 04:00:00,602158,
415.525,416.43,408.9234,413.52,17484675.0,412.8073,2024-06-03 04:00:00,447158,
412.43,416.44,409.675,416.07,14348917.0,413.9785,2024-06-04 04:00:00,316576,
417.81,424.08,416.3,424.01,16988038.0,421.7613,2024-06-05 04:00:00,362676,
424.01,425.31,420.58,424.52,14861251.0,423.6291,2024-06-06 04:00:00,339050,
426.2,426.28,423.0,423.85,13621650.0,424.4686,2024-06-07 04:00:00,242543,
424.7,428.08,423.89,427.87,14003034.0,426.9254,2024-06-10 04:00:00,366210,
425.475,432.82,425.25,432.68,14551101.0,430.1586,2024-06-11 04:00:00,351901,
435.32,443.4,433.25,441.06,22366233.0,439.4047,2024-06-12 04:00:00,493585,
440.85,443.39,439.37,441.58,15960565.0,441.5155,2024-06-13 04:00:00,358457,
438.275,443.1376,436.721,442.57,13581985.0,441.7604,2024-06-14 04:00:00,324884,
442.585,450.94,440.72,448.37,20790030.0,446.7889,2024-06-17 04:00:00,438278,
449.705,450.14,444.89,446.34,17112504.0,446.7172,2024-06-18 04:00:00,381009,
446.3,446.53,441.27,445.7,19877378.0,444.5529,2024-06-20 04:00:00,444422,
447.38,450.58,446.51,449.78,34486172.0,448.872,2024-06-21 04:00:00,384957,
449.8,452.75,446.41,447.67,15913719.0,448.711,2024-06-24 04:00:00,391482,
448.25,451.42,446.75,450.95,16747529.0,449.9838,2024-06-25 04:00:00,312623,
449.0,453.6,448.19,452.16,16507030.0,451.8189,2024-06-26 04:00:00,327608,
452.175,456.17,451.77,452.85,14806324.0,453.5715,2024-06-27 04:00:00,327938,
453.07,455.38,446.41,446.95,28362271.0,449.6845,2024-06-28 04:00:00,399860,
448.66,457.37,445.66,456.73,17662818.0,453.2717,2024-07-01 04:00:00,414466,
453.2,459.59,453.113,459.28,13979779.0,457.5916,2024-07-02 04:00:00,352739,
458.19,461.02,457.88,460.77,9932830.0,459.7752,2024-07-03 04:00:00,297118,
459.61,468.35,458.965,467.56,16000290.0,466.1665,2024-07-05 04:00:00,410920,
466.55,467.7,464.46,466.24,12962321.0,465.8994,2024-07-08 04:00:00,394953,
467.0,467.33,458.0,459.54,17228507.0,461.2484,2024-07-09 04:00:00,457064,
461.22,466.46,458.855,466.25,18196100.0,463.8625,2024-07-10 04:00:00,399314,
462.98,464.78,451.55,454.7,23111175.0,455.7877,2024-07-11 04:00:00,567255,
454.325,456.36,450.645,453.55,16324274.0,453.8281,2024-07-12 04:00:00,438221,
453.3,457.26,451.43,453.96,14429447.0,453.9164,2024-07-15 04:00:00,410307,
454.22,454.3,446.66,449.52,17175679.0,449.2642,2024-07-16 04:00:00,462050,
442.59,444.85,439.18,443.52,21754021.0,442.4715,2024-07-17 04:00:00,541859,
444.34,444.65,434.4,440.37,20794822.0,438.7823,2024-07-18 04:00:00,512514,
433.1,441.14,432.0,437.11,20940417.0,436.7179,2024-07-19 04:00:00,483493,
441.79,444.6,438.9125,442.94,15808755.0,442.5844,2024-07-22 04:00:00,405669,
443.895,448.39,443.1,444.85,13107050.0,445.2049,2024-07-23 04:00:00,316402,
440.45,441.48,427.585,428.9,26805800.0,431.0394,2024-07-24 04:00:00,550695,
428.8,429.8,417.51,418.4,29943795.0,422.0261,2024-07-25 04:00:00,618079,
418.2,428.915,417.27,425.27,23583839.0,424.2656,2024-07-26 04:00:00,437364,
431.58,432.15,424.7042,426.73,15125836.0,427.3855,2024-07-29 04:00:00,372627,
427.72,429.05,417.36,422.92,32687578.0,416.1541,2024-07-30 04:00:00,673248,
420.495,421.775,412.21,418.35,42891366.0,417.4317,2024-07-31 04:00:00,812250,
420.785,427.46,413.0901,417.11,30296400.0,419.1844,2024-08-01 04:00:00,570644,
412.49,415.0,404.34,408.49,29437900.0,407.4872,2024-08-02 04:00:00,640102,
389.17,401.04,385.58,395.15,40709238.0,394.819,2024-08-05 04:00:00,911327,
400.0,405.67,398.5,399.61,24946525.0,401.5969,2024-08-06 04:00:00,523891,
408.635,410.08,397.47,398.43,20650906.0,402.4902,2024-08-07 04:00:00,434281,
402.44,405.86,399.9407,402.69,20203030.0,402.8599,2024-08-08 04:00:00,388851,
404.03,408.05,402.2624,406.02,19276666.0,405.4199,2024-08-09 04:00:00,329992,
407.06,408.76,404.2434,406.81,16762883.0,406.4858,2024-08-12 04:00:00,338061,
409.59,414.95,409.57,414.01,19414271.0,413.2735,2024-08-13 04:00:00,338600,
414.8,417.72,412.4456,416.86,18266980.0,416.0948,2024-08-14 04:00:00,318420,
419.8,421.11,417.66,421.03,20752144.0,420.0442,2024-08-15 04:00:00,345855,
420.6,421.34,417.3,418.47,22775593.0,419.0297,2024-08-16 04:00:00,326153,
418.96,421.75,416.46,421.53,15233957.0,419.8896,2024-08-19 04:00:00,325670,
421.7,425.86,421.64,424.8,16387581.0,423.8665,2024-08-20 04:00:00,311630,
424.075,426.4,421.72,424.14,16067298.0,423.8693,2024-08-21 04:00:00,299663,
424.36,426.7899,414.61,415.55,19361901.0,417.7537,2024-08-22 04:00:00,385371,
416.98,419.26,412.09,416.79,18493784.0,416.0859,2024-08-23 04:00:00,366474,
416.365,417.2799,411.34,413.49,13152830.0,413.7616,2024-08-26 04:00:00,330244,
412.86,414.36,410.25,413.84,13492911.0,413.0336,2024-08-27 04:00:00,286626,
414.88,415.0,407.31,410.6,14882660.0,410.4105,2024-08-28 04:00:00,329368,
414.94,422.05,410.6,413.12,17045241.0,416.249,2024-08-29 04:00:00,355290,
415.6,417.49,412.13,417.14,24308324.0,416.0141,2024-08-30 04:00:00,314932,
417.91,419.88,407.03,409.44,20313603.0,411.6991,2024-09-03 04:00:00,430855,
405.91,411.24,404.37,408.9,15135806.0,408.5297,2024-09-04 04:00:00,359710,
407.62,413.1,406.13,408.39,14195516.0,408.724,2024-09-05 04:00:00,330522,
409.06,410.65,400.8,401.7,19609526.0,402.8702,2024-09-06 04:00:00,399098,
407.24,408.65,402.15,405.72,15295134.0,405.0266,2024-09-09 04:00:00,339753,
408.2,416.33,407.7,414.2,19594287.0,413.0725,2024-09-10 04:00:00,366321,
