open,high,low,close,volume,vwap,timestamp,transactions,otc
59.66,59.67,58.88,59.32,4395712.0,59.1368,2024-04-05 04:00:00,17428,
58.73,59.19,58.67,58.77,8232751.0,58.7844,2024-04-08 04:00:00,24307,
59.17,59.41,58.62,59.07,2343324.0,58.9402,2024-04-09 04:00:00,18912,
58.43,58.54,57.27,57.58,3530815.0,57.6354,2024-04-10 04:00:00,33946,
57.52,57.915,56.84,57.78,4076570.0,57.5038,2024-04-11 04:00:00,31541,
57.33,57.49,56.59,56.83,2637644.0,56.9531,2024-04-12 04:00:00,24743,
57.38,57.56,56.35,56.57,2921734.0,56.7514,2024-04-15 04:00:00,20569,
56.32,56.41,55.855,56.13,2805446.0,56.1312,2024-04-16 04:00:00,23765,
56.76,57.11,56.27,56.82,2417572.0,56.7371,2024-04-17 04:00:00,20766,
56.94,57.4262,56.82,57.25,2912370.0,57.1872,2024-04-18 04:00:00,21728,
57.32,58.23,57.14,58.09,3750532.0,58.0077,2024-04-19 04:00:00,23495,
58.15,58.73,58.15,58.56,5891042.0,58.5336,2024-04-22 04:00:00,22257,
58.66,58.96,58.43,58.92,2028913.0,58.8436,2024-04-23 04:00:00,21217,
58.74,58.81,58.35,58.67,1594046.0,58.6223,2024-04-24 04:00:00,16265,
58.14,59.15,58.115,59.11,5682239.0,58.9931,2024-04-25 04:00:00,19632,
59.18,59.44,58.895,59.38,2542598.0,59.3323,2024-04-26 04:00:00,16944,
59.26,59.5,58.955,59.33,2009986.0,59.2553,2024-04-29 04:00:00,15935,
58.98,59.44,58.91,59.32,2183605.0,59.243,2024-04-30 04:00:00,17746,
59.08,59.405,58.68,58.69,2792343.0,58.9728,2024-05-01 04:00:00,23628,
59.02,59.18,57.96,58.08,5515957.0,58.5773,2024-05-02 04:00:00,40231,
58.3,58.56,54.115,54.66,8094543.0,55.2657,2024-05-03 04:00:00,81952,
54.2,55.9,54.18,54.97,5679549.0,55.1852,2024-05-06 04:00:00,43163,
55.14,55.74,55.08,55.32,3546759.0,55.4045,2024-05-07 04:00:00,32501,
55.15,56.115,55.13,56.01,2318721.0,55.8628,2024-05-08 04:00:00,22270,
55.97,56.35,55.92,56.13,2358604.0,56.1207,2024-05-09 04:00:00,19686,
56.35,56.8,56.29,56.62,3927323.0,56.5881,2024-05-10 04:00:00,20169,
56.98,57.18,56.565,56.76,1988447.0,56.8389,2024-05-13 04:00:00,17016,
56.97,57.37,56.63,56.72,2761303.0,56.8203,2024-05-14 04:00:00,24692,
56.9,57.12,56.52,56.89,1992295.0,56.8852,2024-05-15 04:00:00,19895,
56.9,57.07,56.74,56.88,2016138.0,56.9032,2024-05-16 04:00:00,18134,
57.02,57.38,56.715,57.24,2552836.0,57.2186,2024-05-17 04:00:00,18504,
57.24,57.4,56.8,56.81,805516.0,57.0352,2024-05-20 04:00:00,12096,
56.67,57.39,56.61,56.86,1800758.0,56.891,2024-05-21 04:00:00,17960,
56.55,56.67,55.985,56.1,2275514.0,56.2275,2024-05-22 04:00:00,18539,
56.91,57.05,54.59,55.01,5549500.0,55.4075,2024-05-23 04:00:00,45398,
55.46,56.82,55.4,56.56,2701031.0,56.5145,2024-05-24 04:00:00,26459,
56.52,56.58,55.39,55.53,2160814.0,55.6889,2024-05-28 04:00:00,22912,
55.03,55.03,54.52,54.66,2644743.0,54.6852,2024-05-29 04:00:00,23529,
54.66,55.295,54.65,54.96,2032189.0,54.9675,2024-05-30 04:00:00,18399,
