open,high,low,close,volume,vwap,timestamp,transactions,otc
169.08,170.86,160.51,164.9,143157603.0,166.4329,2024-04-05 04:00:00,1549579,
169.34,174.5,167.79,172.98,104423320.0,172.4897,2024-04-08 04:00:00,1134904,
172.91,179.22,171.92,176.88,103232675.0,175.9124,2024-04-09 04:00:00,1017416,
173.04,174.93,170.01,171.76,84532407.0,171.9336,2024-04-10 04:00:00,955350,
172.55,175.88,168.51,174.6,94515987.0,172.4814,2024-04-11 04:00:00,1028915,
172.34,173.8099,170.3644,171.05,64722669.0,171.8402,2024-04-12 04:00:00,763069,
170.24,170.69,161.38,161.48,100245310.0,164.4833,2024-04-15 04:00:00,1341841,
156.742,158.19,153.75,157.11,96999956.0,156.4237,2024-04-16 04:00:00,1273557,
157.64,158.33,153.78,155.45,82439718.0,155.9758,2024-04-17 04:00:00,1005336,
151.25,152.2,148.7,149.93,96098830.0,150.5025,2024-04-18 04:00:00,1254708,
148.97,150.94,146.22,147.05,87074500.0,148.6265,2024-04-19 04:00:00,1078905,
140.56,144.44,138.8025,142.05,107097564.0,141.7024,2024-04-22 04:00:00,1403278,
143.33,147.26,141.11,144.68,124545104.0,147.5133,2024-04-23 04:00:00,1401800,
162.84,167.97,157.51,162.13,181251511.0,161.9277,2024-04-24 04:00:00,1823957,
158.96,170.88,158.36,170.18,126427521.0,165.6376,2024-04-25 04:00:00,1361934,
168.85,172.12,166.37,168.29,109815725.0,169.186,2024-04-26 04:00:00,1160007,
188.42,198.87,184.54,194.05,243869678.0,191.5656,2024-04-29 04:00:00,2641241,
186.98,190.95,182.8401,183.28,127031787.0,185.7764,2024-04-30 04:00:00,1319801,
182.0,185.86,179.01,179.99,92829719.0,181.6516,2024-05-01 04:00:00,1031366,
182.86,184.6,176.02,180.01,89148041.0,179.7557,2024-05-02 04:00:00,936177,
182.1,184.78,178.42,181.19,75491539.0,181.2542,2024-05-03 04:00:00,845583,
183.8,187.56,182.2,184.76,84390253.0,184.4945,2024-05-06 04:00:00,980553,
182.4,183.26,177.4,177.81,75045854.0,179.2105,2024-05-07 04:00:00,942274,
171.59,176.06,170.15,174.72,79969488.0,173.8097,2024-05-08 04:00:00,904274,
175.01,175.62,171.37,171.97,65950292.0,173.0168,2024-05-09 04:00:00,770102,
173.05,173.0599,167.75,168.47,72627178.0,169.4477,2024-05-10 04:00:00,918770,
170.0,175.4,169.0,171.89,67018903.0,172.5449,2024-05-13 04:00:00,879153,
174.4959,179.49,174.07,177.55,86407422.0,176.9001,2024-05-14 04:00:00,987397,
179.9,180.0,173.11,173.99,79662993.0,174.8348,2024-05-15 04:00:00,962087,
174.1,175.79,171.43,174.84,59812220.0,174.2362,2024-05-16 04:00:00,727805,
173.55,179.63,172.75,177.46,77445845.0,176.8923,2024-05-17 04:00:00,836290,
177.56,177.754,173.52,174.95,61727425.0,174.7824,2024-05-20 04:00:00,811207,
175.51,186.875,174.71,186.6,115266512.0,182.019,2024-05-21 04:00:00,1212462,
182.85,183.8,178.12,180.11,88313477.0,180.7611,2024-05-22 04:00:00,914321,
181.8,181.9,173.26,173.74,71975496.0,176.2789,2024-05-23 04:00:00,897491,
174.835,180.08,173.73,179.24,65584478.0,178.0439,2024-05-24 04:00:00,783972,
176.4,178.25,173.16,176.75,59736620.0,175.7424,2024-05-28 04:00:00,840479,
174.19,178.15,173.93,176.19,54782649.0,176.213,2024-05-29 04:00:00,668438,
178.575,182.67,175.38,178.79,77784755.0,178.8616,2024-05-30 04:00:00,870224,
178.5,180.32,173.82,178.08,67314602.0,176.9625,2024-05-31 04:00:00,756972,
178.13,182.6389,174.49,176.29,68568920.0,178.3257,2024-06-03 04:00:00,893105,
174.775,177.755,174.0,174.77,60056340.0,175.6152,2024-06-04 04:00:00,735907,
175.35,176.15,172.13,175.0,57953756.0,174.4612,2024-06-05 04:00:00,742261,
174.6,179.73,172.73,177.94,69887024.0,176.3396,2024-06-06 04:00:00,856388,
176.13,179.35,175.58,177.48,56244932.0,177.7006,2024-06-07 04:00:00,582307,
176.06,178.57,173.17,173.79,50869682.0,175.4042,2024-06-10 04:00:00,785578,
173.92,174.75,167.41,170.66,64761928.0,169.5017,2024-06-11 04:00:00,938280,
171.12,180.55,169.8,177.29,90389446.0,176.9627,2024-06-12 04:00:00,1112496,
188.39,191.08,181.23,182.47,118984122.0,185.5534,2024-06-13 04:00:00,1415695,
185.8,186.0,176.92,178.01,82038194.0,179.7912,2024-06-14 04:00:00,992531,
177.92,188.81,177.0,187.44,109786083.0,185.196,2024-06-17 04:00:00,1250018,
186.56,187.2,182.37,184.86,68982265.0,184.3727,2024-06-18 04:00:00,839261,
184.68,185.21,179.66,181.57,55893139.0,182.0025,2024-06-20 04:00:00,781089,
182.3,183.95,180.69,183.01,63029482.0,182.3603,2024-06-21 04:00:00,653882,
184.97,188.8,182.55,182.58,61992070.0,184.9784,2024-06-24 04:00:00,835021,
184.4,187.97,182.01,187.35,63678265.0,185.9078,2024-06-25 04:00:00,757448,
186.54,197.755,186.36,196.37,95737066.0,193.9659,2024-06-26 04:00:00,1157377,
195.17,198.72,194.05,197.42,72746521.0,196.2308,2024-06-27 04:00:00,879683,
199.55,203.2,195.26,197.88,95438068.0,199.3173,2024-06-28 04:00:00,1064913,
201.02,213.23,200.85,209.86,135691395.0,209.0916,2024-07-01 04:00:00,1561630,
218.89,231.3,218.06,231.26,205047920.0,226.617,2024-07-02 04:00:00,2267405,
234.56,248.35,234.25,246.39,166561471.0,242.2613,2024-07-03 04:00:00,1985685,
249.81,252.37,242.4601,251.52,154501152.0,248.1651,2024-07-05 04:00:00,1719319,
247.71,259.439,244.57,252.94,157219580.0,252.6184,2024-07-08 04:00:00,1689276,
251.0,265.61,250.3,262.33,160742516.0,260.2048,2024-07-09 04:00:00,1651527,
262.8,267.59,257.86,263.26,128519430.0,263.4158,2024-07-10 04:00:00,1420791,
263.3,271.0,239.65,241.03,221707273.0,252.7686,2024-07-11 04:00:00,2469329,
235.8,251.84,233.0912,248.23,155955773.0,246.7136,2024-07-12 04:00:00,1717924,
255.97,265.6,251.73,252.64,146912920.0,259.2278,2024-07-15 04:00:00,1684907,
255.31,258.62,245.8001,256.56,126332470.0,253.0523,2024-07-16 04:00:00,1351343,
252.73,258.47,246.182,248.5,115584810.0,250.7349,2024-07-17 04:00:00,1328854,
251.09,257.14,247.2,249.23,110869037.0,252.2171,2024-07-18 04:00:00,1262136,
247.79,249.44,236.83,239.2,87403903.0,241.633,2024-07-19 04:00:00,1169238,
244.21,253.21,243.75,251.51,101225430.0,249.5102,2024-07-22 04:00:00,1216659,
253.6,255.7594,245.63,246.38,111928192.0,246.3421,2024-07-23 04:00:00,1425797,
225.42,225.99,214.71,215.99,167942939.0,219.2783,2024-07-24 04:00:00,2100837,
216.8,226.0,216.231,220.25,100636466.0,221.9895,2024-07-25 04:00:00,1290153,
221.19,222.2799,215.33,219.8,94604145.0,219.1879,2024-07-26 04:00:00,1067581,
224.9,234.27,224.7,232.1,129201789.0,230.8647,2024-07-29 04:00:00,1303488,
232.25,232.41,220.0,222.62,100560334.0,225.5056,2024-07-30 04:00:00,1153965,
227.9,234.68,226.7875,232.07,67497011.0,231.3997,2024-07-31 04:00:00,892321,
227.69,231.867,214.3328,216.86,83861898.0,221.9146,2024-08-01 04:00:00,1133352,
214.88,216.13,205.78,207.67,82880120.0,209.8525,2024-08-02 04:00:00,1192035,
185.22,203.8799,182.0,198.88,100308836.0,196.6355,2024-08-05 04:00:00,1533459,
200.75,202.9,192.67,200.64,73783942.0,198.8723,2024-08-06 04:00:00,1087409,
200.77,203.49,191.48,191.76,71159778.0,196.6107,2024-08-07 04:00:00,1027014,
195.7,200.7,192.04,198.84,65033874.0,197.403,2024-08-08 04:00:00,876899,
197.05,200.88,195.11,200.0,58648274.0,198.3937,2024-08-09 04:00:00,799121,
199.02,199.26,194.67,197.49,64044903.0,197.2176,2024-08-12 04:00:00,829425,
198.47,208.49,197.06,207.83,76247387.0,205.0799,2024-08-13 04:00:00,933166,
207.39,208.44,198.75,201.38,70250014.0,201.914,2024-08-14 04:00:00,894617,
205.02,215.88,204.82,214.14,89848530.0,212.9353,2024-08-15 04:00:00,1029269,
211.15,219.8,210.8,216.12,88765122.0,216.3564,2024-08-16 04:00:00,932418,
217.07,222.98,214.09,222.72,76435222.0,220.0568,2024-08-19 04:00:00,977931,
224.88,228.22,219.56,221.1,74001182.0,222.8157,2024-08-20 04:00:00,927878,
222.67,224.6594,218.86,223.27,70145964.0,221.9599,2024-08-21 04:00:00,774005,
223.82,224.8,210.32,210.66,79514482.0,216.6958,2024-08-22 04:00:00,1009554,
214.455,221.48,214.21,220.32,81525207.0,218.4197,2024-08-23 04:00:00,932936,
218.75,219.09,211.01,213.21,59301187.0,213.9203,2024-08-26 04:00:00,865858,
213.25,215.66,206.94,209.21,62821390.0,209.9171,2024-08-27 04:00:00,788663,
209.72,211.84,202.59,205.75,64116350.0,205.9471,2024-08-28 04:00:00,816477,
209.8,214.89,205.97,206.28,62308818.0,210.3258,2024-08-29 04:00:00,824209,
208.63,214.5701,207.03,214.11,63370608.0,210.627,2024-08-30 04:00:00,797416,
215.26,219.9043,209.64,210.6,76714222.0,214.2969,2024-09-03 04:00:00,1096746,
210.59,222.22,210.57,219.41,80651767.0,218.5358,2024-09-04 04:00:00,1039843,
223.49,235.0,222.25,230.17,119355013.0,229.4745,2024-09-05 04:00:00,1422107,
232.6,233.6,210.51,210.73,112177004.0,218.7491,2024-09-06 04:00:00,1443035,
216.2,219.87,213.67,216.27,67443518.0,216.918,2024-09-09 04:00:00,963329,
220.07,226.4,218.6377,226.17,78891136.0,222.8936,2024-09-10 04:00:00,996256,
224.55,228.47,216.8003,228.13,83548633.0,222.8234,2024-09-11 04:00:00,1000721,
224.66,231.45,223.83,229.81,72020042.0,228.9368,2024-09-12 04:00:00,954671,
228.0,232.67,226.32,230.29,59515114.0,229.6159,2024-09-13 04:00:00,803426,
229.3,229.96,223.53,226.78,54322995.0,227.1307,2024-09-16 04:00:00,780722,
229.45,234.57,226.5533,227.87,66761636.0,230.5372,2024-09-17 04:00:00,838870,
230.09,235.68,226.88,227.2,78010204.0,230.0429,2024-09-18 04:00:00,965527,
234.0,244.24,232.13,243.92,102694576.0,240.64,2024-09-19 04:00:00,1283390,
241.52,243.99,235.92,238.25,99879070.0,239.1495,2024-09-20 04:00:00,1024302,
242.61,250.0,241.92,250.0,86927194.0,247.9753,2024-09-23 04:00:00,1135399,
254.08,257.19,249.0501,254.27,88490999.0,253.3512,2024-09-24 04:00:00,1115225,
252.54,257.05,252.28,257.02,65034318.0,255.3514,2024-09-25 04:00:00,878573,
260.6,261.75,251.53,254.22,67142193.0,255.9708,2024-09-26 04:00:00,848598,
257.375,260.6999,254.12,260.46,70988067.0,258.2508,2024-09-27 04:00:00,933692,
259.04,264.86,255.77,261.63,80873381.0,260.113,2024-09-30 04:00:00,1081088,
262.67,263.98,248.53,258.02,87397613.0,255.2818,2024-10-01 04:00:00,1158965,
247.55,251.1585,241.5,249.02,93983930.0,247.5178,2024-10-02 04:00:00,1255142,
244.48,249.79,237.81,240.66,80729240.0,242.9588,2024-10-03 04:00:00,1046594,
246.69,250.96,244.58,250.08,86726285.0,248.1273,2024-10-04 04:00:00,1105878,
249.0,249.83,240.7,240.83,68113270.0,244.2928,2024-10-07 04:00:00,1020620,
243.56,246.21,240.56,244.5,56303160.0,244.1444,2024-10-08 04:00:00,789918,
243.82,247.43,239.51,241.05,66289529.0,243.4745,2024-10-09 04:00:00,907028,
241.81,242.7899,232.34,238.77,83087063.0,239.0109,2024-10-10 04:00:00,1091415,
220.13,223.34,214.38,217.8,142628874.0,219.676,2024-10-11 04:00:00,2106777,
220.13,221.91,213.74,219.16,86291923.0,218.5058,2024-10-14 04:00:00,1345398,
220.01,224.26,217.12,219.57,62988787.0,220.5047,2024-10-15 04:00:00,918555,
221.4,222.8199,218.93,221.33,49632824.0,220.8726,2024-10-16 04:00:00,733493,
221.59,222.08,217.9,220.89,50791784.0,220.1581,2024-10-17 04:00:00,751927,
220.71,222.28,219.23,220.7,49611867.0,221.0,2024-10-18 04:00:00,689769,
218.9,220.48,215.726,218.85,47328988.0,218.3276,2024-10-21 04:00:00,817710,
217.31,218.22,215.26,217.97,43268741.0,216.9078,2024-10-22 04:00:00,727711,
217.125,218.72,212.11,213.65,80938892.0,220.8349,2024-10-23 04:00:00,1217483,
244.68,262.1199,242.65,260.48,204491903.0,253.1151,2024-10-24 04:00:00,2592173,
256.01,269.49,255.32,269.19,161611931.0,265.7757,2024-10-25 04:00:00,1911797,
270.0,273.536,262.24,262.51,107653603.0,268.1257,2024-10-28 04:00:00,1410052,
264.51,264.98,255.51,259.52,80521751.0,259.5621,2024-10-29 04:00:00,1099634,
258.035,263.35,255.8201,257.55,53993576.0,260.328,2024-10-30 04:00:00,827316,
257.99,259.75,249.25,249.85,66575292.0,252.6946,2024-10-31 04:00:00,900186,
252.043,254.0,246.63,248.98,57544757.0,249.997,2024-11-01 04:00:00,850441,
244.56,248.9,238.88,242.84,68802354.0,244.1859,2024-11-04 05:00:00,977682,
247.34,255.2799,246.2101,251.44,69282505.0,252.3652,2024-11-05 05:00:00,979572,
284.67,289.59,275.62,288.53,165228710.0,285.0845,2024-11-06 05:00:00,2645076,
288.89,299.75,285.52,296.91,117309232.0,295.4269,2024-11-07 05:00:00,1752205,
299.14,328.71,297.66,321.22,204782763.0,316.421,2024-11-08 05:00:00,2910016,
346.3,358.64,336.0,350.0,210521625.0,346.3343,2024-11-11 05:00:00,3203855,
342.74,345.84,323.31,328.49,155726016.0,335.0725,2024-11-12 05:00:00,2435545,
335.85,344.5999,322.5,330.24,125405599.0,331.7246,2024-11-13 05:00:00,1770604,
327.69,329.98,310.37,311.18,120726109.0,317.5707,2024-11-14 05:00:00,1702771,
310.57,324.6799,309.22,320.72,114440286.0,317.958,2024-11-15 05:00:00,1499022,
340.73,348.5499,330.01,338.74,126547455.0,340.5484,2024-11-18 05:00:00,1764438,
335.76,347.3799,332.75,346.0,88852452.0,342.5891,2024-11-19 05:00:00,1227344,
345.0,346.5999,334.3,342.03,66340650.0,339.8731,2024-11-20 05:00:00,964275,
