open,high,low,close,volume,vwap,timestamp,transactions,otc
56.63,57.62,56.57,57.4,11080968.0,57.2378,2024-04-05 04:00:00,94011,
57.375,57.98,57.31,57.79,15308824.0,57.7487,2024-04-08 04:00:00,107406,
57.7,57.99,56.87,57.58,10645952.0,57.3991,2024-04-09 04:00:00,92119,
56.79,57.295,56.42,56.94,16475238.0,56.8967,2024-04-10 04:00:00,138225,
56.98,57.0,55.625,56.69,18995594.0,56.5806,2024-04-11 04:00:00,146258,
55.97,57.0,55.34,56.47,27876733.0,56.4546,2024-04-12 04:00:00,194514,
57.61,57.98,56.735,56.97,19407516.0,57.2338,2024-04-15 04:00:00,145543,
56.9,56.96,55.66,56.41,25620002.0,56.2277,2024-04-16 04:00:00,167678,
56.88,57.63,56.65,57.18,18867719.0,57.1066,2024-04-17 04:00:00,134127,
57.625,59.13,57.22,58.74,24468521.0,58.6346,2024-04-18 04:00:00,179137,
59.0,60.85,58.855,60.35,34334317.0,60.2436,2024-04-19 04:00:00,216946,
60.4,61.485,60.34,61.1,21753384.0,60.9788,2024-04-22 04:00:00,154976,
61.17,61.76,60.81,60.94,21731239.0,61.1778,2024-04-23 04:00:00,148628,
60.6,60.95,60.05,60.6,19731585.0,60.6032,2024-04-24 04:00:00,147373,
60.61,60.96,59.6,59.93,24002548.0,60.0805,2024-04-25 04:00:00,151047,
59.78,60.43,59.375,59.91,18785900.0,59.9831,2024-04-26 04:00:00,124097,
59.86,60.3,59.36,59.8,15343629.0,59.9533,2024-04-29 04:00:00,116525,
59.6,59.99,59.3,59.32,18007721.0,59.5414,2024-04-30 04:00:00,116387,
59.58,60.145,59.325,59.52,16366622.0,59.6584,2024-05-01 04:00:00,130908,
60.12,60.15,59.32,59.83,15329457.0,59.6949,2024-05-02 04:00:00,114331,
60.03,60.258,59.12,59.94,17298461.0,59.8962,2024-05-03 04:00:00,122166,
60.47,60.878,59.835,60.19,16240271.0,60.2218,2024-05-06 04:00:00,124813,
60.28,60.61,60.06,60.26,16268431.0,60.2983,2024-05-07 04:00:00,112525,
60.15,61.43,60.095,61.23,18718415.0,60.8859,2024-05-08 04:00:00,130185,
60.74,61.37,60.48,61.28,14224342.0,61.1725,2024-05-09 04:00:00,111410,
61.46,61.97,61.46,61.89,14428171.0,61.7961,2024-05-10 04:00:00,98097,
61.96,62.17,61.21,61.26,15203467.0,61.5633,2024-05-13 04:00:00,103366,
61.56,61.985,61.02,61.89,14499616.0,61.757,2024-05-14 04:00:00,124898,
62.2,62.55,61.87,62.34,17489595.0,62.2055,2024-05-15 04:00:00,114911,
62.45,62.475,60.965,61.06,21104094.0,61.5115,2024-05-16 04:00:00,147934,
61.41,61.63,60.885,61.08,15795963.0,61.1238,2024-05-17 04:00:00,121881,
60.975,61.79,60.59,60.7,15029013.0,61.0813,2024-05-20 04:00:00,114918,
60.82,61.7,60.78,61.46,18422116.0,61.4397,2024-05-21 04:00:00,116525,
61.3,61.45,60.51,60.93,10340465.0,60.939,2024-05-22 04:00:00,77148,
60.75,60.78,59.36,59.68,13056305.0,59.8389,2024-05-23 04:00:00,103970,
60.04,60.39,59.87,60.21,9913040.0,60.1159,2024-05-24 04:00:00,69050,
59.97,60.18,59.19,59.48,11276265.0,59.5497,2024-05-28 04:00:00,88054,
58.865,58.94,58.42,58.75,12835045.0,58.7206,2024-05-29 04:00:00,92567,
58.82,59.39,58.6,59.21,13584811.0,59.1019,2024-05-30 04:00:00,100142,
59.27,59.99,58.97,59.92,25386837.0,59.7464,2024-05-31 04:00:00,95199,
60.2,60.2,58.6,59.34,13206546.0,59.3092,2024-06-03 04:00:00,98493,
58.82,59.4769,58.34,58.7,12520732.0,58.7313,2024-06-04 04:00:00,101325,
58.86,58.92,58.125,58.68,11199140.0,58.5357,2024-06-05 04:00:00,85435,
58.78,58.995,57.5,57.73,18587366.0,57.9767,2024-06-06 04:00:00,137975,
57.57,58.68,57.57,58.36,14466845.0,58.3778,2024-06-07 04:00:00,100254,
57.9,58.13,57.37,57.93,12793783.0,57.8547,2024-06-10 04:00:00,96745,
57.75,57.75,56.51,57.13,19197807.0,57.1307,2024-06-11 04:00:00,143007,
58.28,58.45,57.155,57.3,16929802.0,57.549,2024-06-12 04:00:00,143079,
57.45,57.62,56.69,57.27,15963716.0,57.2849,2024-06-13 04:00:00,114023,
56.99,57.61,56.62,57.4,15375353.0,57.2607,2024-06-14 04:00:00,105740,
57.205,58.245,57.07,58.24,18361139.0,57.8963,2024-06-17 04:00:00,119200,
58.21,59.05,57.9,59.05,15547404.0,58.8623,2024-06-18 04:00:00,126270,
58.74,59.2,58.59,58.96,11985694.0,58.908,2024-06-20 04:00:00,102147,
